Test Case,Algorithm,Execution Time,std
r 10000 0.5900,Q,0,0.5900
r 10000 0.5900,R,0,0.5900
r 10000 0.6000,H,0,0.6000
r 10000 0.6000,M,1,0.6000
r 10000 0.6000,Q,0,0.6000
r 10000 0.6000,R,0,0.6000
r 10000 0.6100,H,1,0.6100
r 10000 0.6100,M,0,0.6100
r 10000 0.6100,Q,1,0.6100
r 10000 0.6100,R,0,0.6100
r 10000 0.6200,H,0,0.6200
r 10000 0.6200,M,0,0.6200
r 10000 0.6200,Q,0,0.6200
r 10000 0.6200,R,0,0.6200
r 10000 0.6300,H,1,0.6300
r 10000 0.6300,M,1,0.6300
r 10000 0.6300,Q,0,0.6300
r 10000 0.6300,R,0,0.6300
r 10000 0.6400,H,0,0.6400
r 10000 0.6400,M,0,0.6400
r 10000 0.6400,Q,0,0.6400
r 10000 0.6400,R,0,0.6400
r 10000 0.6500,H,0,0.6500
r 10000 0.6500,M,1,0.6500
r 10000 0.6500,Q,0,0.6500
r 10000 0.6500,R,0,0.6500
r 10000 0.6600,H,1,0.6600
r 10000 0.6600,M,0,0.6600
r 10000 0.6600,Q,0,0.6600
r 10000 0.6600,R,0,0.6600
r 10000 0.6700,H,0,0.6700
r 10000 0.6700,M,0,0.6700
r 10000 0.6700,Q,1,0.6700
r 10000 0.6700,R,0,0.6700
r 10000 0.6800,H,1,0.6800
r 10000 0.6800,M,1,0.6800
r 10000 0.6800,Q,0,0.6800
r 10000 0.6800,R,0,0.6800
r 10000 0.6900,H,1,0.6900
r 10000 0.6900,M,1,0.6900
r 10000 0.6900,Q,0,0.6900
r 10000 0.6900,R,0,0.6900
r 10000 0.7000,H,1,0.7000
r 10000 0.7000,M,0,0.7000
r 10000 0.7000,Q,0,0.7000
r 10000 0.7000,R,0,0.7000
r 10000 0.7100,H,0,0.7100
r 10000 0.7100,M,0,0.7100
r 10000 0.7100,Q,0,0.7100
r 10000 0.7100,R,0,0.7100
r 10000 0.7200,H,1,0.7200
r 10000 0.7200,M,0,0.7200
r 10000 0.7200,Q,0,0.7200
r 10000 0.7200,R,0,0.7200
r 10000 0.7300,H,0,0.7300
r 10000 0.7300,M,1,0.7300
r 10000 0.7300,Q,0,0.7300
r 10000 0.7300,R,0,0.7300
r 10000 0.7400,H,0,0.7400
r 10000 0.7400,M,1,0.7400
r 10000 0.7400,Q,1,0.7400
r 10000 0.7400,R,0,0.7400
r 10000 0.7500,H,0,0.7500
r 10000 0.7500,M,0,0.7500
r 10000 0.7500,Q,0,0.7500
r 10000 0.7500,R,0,0.7500
r 10000 0.7600,H,0,0.7600
r 10000 0.7600,M,0,0.7600
r 10000 0.7600,Q,0,0.7600
r 10000 0.7600,R,0,0.7600
r 10000 0.7700,H,0,0.7700
r 10000 0.7700,M,1,0.7700
r 10000 0.7700,Q,0,0.7700
r 10000 0.7700,R,0,0.7700
r 10000 0.7800,H,1,0.7800
r 10000 0.7800,M,0,0.7800
r 10000 0.7800,Q,0,0.7800
r 10000 0.7800,R,0,0.7800
r 10000 0.7900,H,0,0.7900
r 10000 0.7900,M,0,0.7900
r 10000 0.7900,Q,0,0.7900
r 10000 0.7900,R,0,0.7900
r 10000 0.8000,H,0,0.8000
r 10000 0.8000,M,1,0.8000
r 10000 0.8000,Q,0,0.8000
r 10000 0.8000,R,0,0.8000
r 10000 0.8100,H,0,0.8100
r 10000 0.8100,M,0,0.8100
r 10000 0.8100,Q,1,0.8100
r 10000 0.8100,R,0,0.8100
r 10000 0.8200,H,1,0.8200
r 10000 0.8200,M,0,0.8200
r 10000 0.8200,Q,0,0.8200
r 10000 0.8200,R,0,0.8200
r 10000 0.8300,H,0,0.8300
r 10000 0.8300,M,0,0.8300
r 10000 0.8300,Q,0,0.8300
r 10000 0.8300,R,0,0.8300
r 10000 0.8400,H,0,0.8400
r 10000 0.8400,M,0,0.8400
r 10000 0.8400,Q,1,0.8400
r 10000 0.8400,R,0,0.8400
r 10000 0.8500,H,1,0.8500
r 10000 0.8500,M,0,0.8500
r 10000 0.8500,Q,0,0.8500
r 10000 0.8500,R,0,0.8500
r 10000 0.8600,H,0,0.8600
r 10000 0.8600,M,1,0.8600
r 10000 0.8600,Q,0,0.8600
r 10000 0.8600,R,0,0.8600
r 10000 0.8700,H,1,0.8700
r 10000 0.8700,M,0,0.8700
r 10000 0.8700,Q,0,0.8700
r 10000 0.8700,R,0,0.8700
r 10000 0.8800,H,0,0.8800
r 10000 0.8800,M,0,0.8800
r 10000 0.8800,Q,0,0.8800
r 10000 0.8800,R,0,0.8800
r 10000 0.8900,H,1,0.8900
r 10000 0.8900,M,1,0.8900
r 10000 0.8900,Q,0,0.8900
r 10000 0.8900,R,0,0.8900
r 10000 0.9000,H,1,0.9000
r 10000 0.9000,M,0,0.9000
r 10000 0.9000,Q,0,0.9000
r 10000 0.9000,R,0,0.9000
r 10000 0.9100,H,0,0.9100
r 10000 0.9100,M,1,0.9100
r 10000 0.9100,Q,0,0.9100
r 10000 0.9100,R,0,0.9100
r 10000 0.9200,H,1,0.9200
r 10000 0.9200,M,0,0.9200
r 10000 0.9200,Q,0,0.9200
r 10000 0.9200,R,0,0.9200
r 10000 0.9300,H,0,0.9300
r 10000 0.9300,M,0,0.9300
r 10000 0.9300,Q,0,0.9300
r 10000 0.9300,R,0,0.9300
r 10000 0.9400,H,1,0.9400
r 10000 0.9400,M,0,0.9400
r 10000 0.9400,Q,0,0.9400
r 10000 0.9400,R,0,0.9400
r 10000 0.9500,H,0,0.9500
r 10000 0.9500,M,0,0.9500
r 10000 0.9500,Q,0,0.9500
r 10000 0.9500,R,0,0.9500
r 10000 0.9600,H,1,0.9600
r 10000 0.9600,M,0,0.9600
r 10000 0.9600,Q,0,0.9600
r 10000 0.9600,R,0,0.9600
r 10000 0.9700,H,0,0.9700
r 10000 0.9700,M,1,0.9700
r 10000 0.9700,Q,0,0.9700
r 10000 0.9700,R,0,0.9700
r 10000 0.9800,H,0,0.9800
r 10000 0.9800,M,0,0.9800
r 10000 0.9800,Q,1,0.9800
r 10000 0.9800,R,0,0.9800
r 10000 0.9900,H,1,0.9900
r 10000 0.9900,M,0,0.9900
r 10000 0.9900,Q,0,0.9900
r 10000 0.9900,R,0,0.9900
r 10000 1.0000,H,0,1.0000
r 10000 1.0000,M,1,1.0000
r 10000 1.0000,Q,0,1.0000
r 10000 1.0000,R,0,1.0000
r 10000 1.0100,H,1,1.0100
r 10000 1.0100,M,0,1.0100
r 10000 1.0100,Q,0,1.0100
r 10000 1.0100,R,0,1.0100
r 10000 1.0200,H,0,1.0200
r 10000 1.0200,M,0,1.0200
r 10000 1.0200,Q,1,1.0200
r 10000 1.0200,R,0,1.0200
r 10000 1.0300,H,1,1.0300
r 10000 1.0300,M,0,1.0300
r 10000 1.0300,Q,0,1.0300
r 10000 1.0300,R,0,1.0300
r 10000 1.0400,H,0,1.0400
r 10000 1.0400,M,0,1.0400
r 10000 1.0400,Q,0,1.0400
r 10000 1.0400,R,1,1.0400
r 10000 1.0500,H,1,1.0500
r 10000 1.0500,M,0,1.0500
r 10000 1.0500,Q,0,1.0500
r 10000 1.0500,R,0,1.0500
r 10000 1.0600,H,1,1.0600
r 10000 1.0600,M,0,1.0600
r 10000 1.0600,Q,0,1.0600
r 10000 1.0600,R,1,1.0600
r 10000 1.0700,H,1,1.0700
r 10000 1.0700,M,0,1.0700
r 10000 1.0700,Q,0,1.0700
r 10000 1.0700,R,0,1.0700
r 10000 1.0800,H,0,1.0800
r 10000 1.0800,M,0,1.0800
r 10000 1.0800,Q,1,1.0800
r 10000 1.0800,R,0,1.0800
r 10000 1.0900,H,1,1.0900
r 10000 1.0900,M,0,1.0900
r 10000 1.0900,Q,0,1.0900
r 10000 1.0900,R,0,1.0900
r 10000 1.1000,H,0,1.1000
r 10000 1.1000,M,0,1.1000
r 10000 1.1000,Q,0,1.1000
r 10000 1.1000,R,0,1.1000
r 10000 1.1100,H,0,1.1100
r 10000 1.1100,M,1,1.1100
r 10000 1.1100,Q,0,1.1100
r 10000 1.1100,R,0,1.1100
r 10000 1.1200,H,1,1.1200
r 10000 1.1200,M,0,1.1200
r 10000 1.1200,Q,0,1.1200
r 10000 1.1200,R,0,1.1200
r 10000 1.1300,H,0,1.1300
r 10000 1.1300,M,1,1.1300
r 10000 1.1300,Q,0,1.1300
r 10000 1.1300,R,0,1.1300
r 10000 1.1400,H,0,1.1400
r 10000 1.1400,M,0,1.1400
r 10000 1.1400,Q,0,1.1400
r 10000 1.1400,R,0,1.1400
r 10000 1.1500,H,1,1.1500
r 10000 1.1500,M,0,1.1500
r 10000 1.1500,Q,0,1.1500
r 10000 1.1500,R,0,1.1500
r 10000 1.1600,H,0,1.1600
r 10000 1.1600,M,0,1.1600
r 10000 1.1600,Q,0,1.1600
r 10000 1.1600,R,0,1.1600
r 10000 1.1700,H,0,1.1700
r 10000 1.1700,M,0,1.1700
r 10000 1.1700,Q,0,1.1700
r 10000 1.1700,R,0,1.1700
r 10000 1.1800,H,1,1.1800
r 10000 1.1800,M,0,1.1800
r 10000 1.1800,Q,0,1.1800
r 10000 1.1800,R,0,1.1800
r 10000 1.1900,H,0,1.1900
r 10000 1.1900,M,0,1.1900
r 10000 1.1900,Q,1,1.1900
r 10000 1.1900,R,0,1.1900
r 10000 1.2000,H,1,1.2000
r 10000 1.2000,M,0,1.2000
r 10000 1.2000,Q,0,1.2000
r 10000 1.2000,R,0,1.2000
r 10000 1.2100,H,0,1.2100
r 10000 1.2100,M,0,1.2100
r 10000 1.2100,Q,1,1.2100
r 10000 1.2100,R,0,1.2100
r 10000 1.2200,H,1,1.2200
r 10000 1.2200,M,0,1.2200
r 10000 1.2200,Q,1,1.2200
r 10000 1.2200,R,0,1.2200
r 10000 1.2300,H,1,1.2300
r 10000 1.2300,M,0,1.2300
r 10000 1.2300,Q,0,1.2300
r 10000 1.2300,R,0,1.2300
r 10000 1.2400,H,1,1.2400
r 10000 1.2400,M,0,1.2400
r 10000 1.2400,Q,1,1.2400
r 10000 1.2400,R,0,1.2400
r 10000 1.2500,H,1,1.2500
r 10000 1.2500,M,0,1.2500
r 10000 1.2500,Q,0,1.2500
r 10000 1.2500,R,0,1.2500
r 10000 1.2600,H,0,1.2600
r 10000 1.2600,M,1,1.2600
r 10000 1.2600,Q,0,1.2600
r 10000 1.2600,R,0,1.2600
r 10000 1.2700,H,0,1.2700
r 10000 1.2700,M,0,1.2700
r 10000 1.2700,Q,1,1.2700
r 10000 1.2700,R,0,1.2700
r 10000 1.2800,H,1,1.2800
r 10000 1.2800,M,0,1.2800
r 10000 1.2800,Q,0,1.2800
r 10000 1.2800,R,0,1.2800
r 10000 1.2900,H,0,1.2900
r 10000 1.2900,M,0,1.2900
r 10000 1.2900,Q,0,1.2900
r 10000 1.2900,R,0,1.2900
r 10000 1.3000,H,0,1.3000
r 10000 1.3000,M,1,1.3000
r 10000 1.3000,Q,0,1.3000
r 10000 1.3000,R,0,1.3000
r 10000 1.3100,H,1,1.3100
r 10000 1.3100,M,0,1.3100
r 10000 1.3100,Q,0,1.3100
r 10000 1.3100,R,0,1.3100
r 10000 1.3200,H,0,1.3200
r 10000 1.3200,M,1,1.3200
r 10000 1.3200,Q,0,1.3200
r 10000 1.3200,R,0,1.3200
r 10000 1.3300,H,1,1.3300
r 10000 1.3300,M,0,1.3300
r 10000 1.3300,Q,0,1.3300
r 10000 1.3300,R,0,1.3300
r 10000 1.3400,H,0,1.3400
r 10000 1.3400,M,1,1.3400
r 10000 1.3400,Q,0,1.3400
r 10000 1.3400,R,0,1.3400
r 10000 1.3500,H,0,1.3500
r 10000 1.3500,M,0,1.3500
r 10000 1.3500,Q,0,1.3500
r 10000 1.3500,R,1,1.3500
r 10000 1.3600,H,1,1.3600
r 10000 1.3600,M,1,1.3600
r 10000 1.3600,Q,0,1.3600
r 10000 1.3600,R,0,1.3600
r 10000 1.3700,H,1,1.3700
r 10000 1.3700,M,0,1.3700
r 10000 1.3700,Q,0,1.3700
r 10000 1.3700,R,0,1.3700
r 10000 1.3800,H,0,1.3800
r 10000 1.3800,M,1,1.3800
r 10000 1.3800,Q,0,1.3800
r 10000 1.3800,R,0,1.3800
r 10000 1.3900,H,0,1.3900
r 10000 1.3900,M,0,1.3900
r 10000 1.3900,Q,0,1.3900
r 10000 1.3900,R,0,1.3900
r 10000 1.4000,H,0,1.4000
r 10000 1.4000,M,0,1.4000
r 10000 1.4000,Q,0,1.4000
r 10000 1.4000,R,0,1.4000
r 10000 1.4100,H,1,1.4100
r 10000 1.4100,M,0,1.4100
r 10000 1.4100,Q,0,1.4100
r 10000 1.4100,R,0,1.4100
r 10000 1.4200,H,1,1.4200
r 10000 1.4200,M,1,1.4200
r 10000 1.4200,Q,0,1.4200
r 10000 1.4200,R,0,1.4200
r 10000 1.4300,H,1,1.4300
r 10000 1.4300,M,0,1.4300
r 10000 1.4300,Q,1,1.4300
r 10000 1.4300,R,0,1.4300
r 10000 1.4400,H,1,1.4400
r 10000 1.4400,M,0,1.4400
r 10000 1.4400,Q,1,1.4400
r 10000 1.4400,R,0,1.4400
r 10000 1.4500,H,0,1.4500
r 10000 1.4500,M,0,1.4500
r 10000 1.4500,Q,0,1.4500
r 10000 1.4500,R,1,1.4500
r 10000 1.4600,H,1,1.4600
r 10000 1.4600,M,0,1.4600
r 10000 1.4600,Q,0,1.4600
r 10000 1.4600,R,0,1.4600
r 10000 1.4700,H,0,1.4700
r 10000 1.4700,M,1,1.4700
r 10000 1.4700,Q,0,1.4700
r 10000 1.4700,R,0,1.4700
r 10000 1.4800,H,0,1.4800
r 10000 1.4800,M,0,1.4800
r 10000 1.4800,Q,0,1.4800
r 10000 1.4800,R,1,1.4800
r 10000 1.4900,H,1,1.4900
r 10000 1.4900,M,0,1.4900
r 10000 1.4900,Q,0,1.4900
r 10000 1.4900,R,0,1.4900
r 10000 1.5000,H,1,1.5000
r 10000 1.5000,M,1,1.5000
r 10000 1.5000,Q,0,1.5000
r 10000 1.5000,R,0,1.5000
r 10000 1.5100,H,1,1.5100
r 10000 1.5100,M,0,1.5100
r 10000 1.5100,Q,0,1.5100
r 10000 1.5100,R,1,1.5100
r 10000 1.5200,H,1,1.5200
r 10000 1.5200,M,1,1.5200
r 10000 1.5200,Q,0,1.5200
r 10000 1.5200,R,0,1.5200
r 10000 1.5300,H,0,1.5300
r 10000 1.5300,M,1,1.5300
r 10000 1.5300,Q,0,1.5300
r 10000 1.5300,R,0,1.5300
r 10000 1.5400,H,0,1.5400
r 10000 1.5400,M,1,1.5400
r 10000 1.5400,Q,0,1.5400
r 10000 1.5400,R,0,1.5400
r 10000 1.5500,H,0,1.5500
r 10000 1.5500,M,1,1.5500
r 10000 1.5500,Q,0,1.5500
r 10000 1.5500,R,0,1.5500
r 10000 1.5600,H,0,1.5600
r 10000 1.5600,M,1,1.5600
r 10000 1.5600,Q,0,1.5600
r 10000 1.5600,R,0,1.5600
r 10000 1.5700,H,1,1.5700
r 10000 1.5700,M,0,1.5700
r 10000 1.5700,Q,0,1.5700
r 10000 1.5700,R,0,1.5700
r 10000 1.5800,H,0,1.5800
r 10000 1.5800,M,1,1.5800
r 10000 1.5800,Q,0,1.5800
r 10000 1.5800,R,0,1.5800
r 10000 1.5900,H,0,1.5900
r 10000 1.5900,M,0,1.5900
r 10000 1.5900,Q,1,1.5900
r 10000 1.5900,R,0,1.5900
r 10000 1.6000,H,1,1.6000
r 10000 1.6000,M,1,1.6000
r 10000 1.6000,Q,0,1.6000
r 10000 1.6000,R,0,1.6000
r 10000 1.6100,H,0,1.6100
r 10000 1.6100,M,1,1.6100
r 10000 1.6100,Q,0,1.6100
r 10000 1.6100,R,0,1.6100
r 10000 1.6200,H,0,1.6200
r 10000 1.6200,M,0,1.6200
r 10000 1.6200,Q,1,1.6200
r 10000 1.6200,R,0,1.6200
r 10000 1.6300,H,0,1.6300
r 10000 1.6300,M,1,1.6300
r 10000 1.6300,Q,0,1.6300
r 10000 1.6300,R,0,1.6300
r 10000 1.6400,H,0,1.6400
r 10000 1.6400,M,0,1.6400
r 10000 1.6400,Q,0,1.6400
r 10000 1.6400,R,1,1.6400
r 10000 1.6500,H,1,1.6500
r 10000 1.6500,M,0,1.6500
r 10000 1.6500,Q,1,1.6500
r 10000 1.6500,R,0,1.6500
r 10000 1.6600,H,1,1.6600
r 10000 1.6600,M,0,1.6600
r 10000 1.6600,Q,0,1.6600
r 10000 1.6600,R,0,1.6600
r 10000 1.6700,H,0,1.6700
r 10000 1.6700,M,1,1.6700
r 10000 1.6700,Q,0,1.6700
r 10000 1.6700,R,0,1.6700
r 10000 1.6800,H,1,1.6800
r 10000 1.6800,M,1,1.6800
r 10000 1.6800,Q,0,1.6800
r 10000 1.6800,R,1,1.6800
r 10000 1.6900,H,1,1.6900
r 10000 1.6900,M,0,1.6900
r 10000 1.6900,Q,1,1.6900
r 10000 1.6900,R,0,1.6900
r 10000 1.7000,H,1,1.7000
r 10000 1.7000,M,0,1.7000
r 10000 1.7000,Q,0,1.7000
r 10000 1.7000,R,0,1.7000
r 10000 1.7100,H,0,1.7100
r 10000 1.7100,M,1,1.7100
r 10000 1.7100,Q,0,1.7100
r 10000 1.7100,R,0,1.7100
r 10000 1.7200,H,1,1.7200
r 10000 1.7200,M,1,1.7200
r 10000 1.7200,Q,0,1.7200
r 10000 1.7200,R,0,1.7200
r 10000 1.7300,H,1,1.7300
r 10000 1.7300,M,0,1.7300
r 10000 1.7300,Q,0,1.7300
r 10000 1.7300,R,0,1.7300
r 10000 1.7400,H,1,1.7400
r 10000 1.7400,M,0,1.7400
r 10000 1.7400,Q,1,1.7400
r 10000 1.7400,R,0,1.7400
r 10000 1.7500,H,1,1.7500
r 10000 1.7500,M,1,1.7500
r 10000 1.7500,Q,0,1.7500
r 10000 1.7500,R,0,1.7500
r 10000 1.7600,H,1,1.7600
r 10000 1.7600,M,0,1.7600
r 10000 1.7600,Q,0,1.7600
r 10000 1.7600,R,0,1.7600
r 10000 1.7700,H,0,1.7700
r 10000 1.7700,M,1,1.7700
r 10000 1.7700,Q,0,1.7700
r 10000 1.7700,R,0,1.7700
r 10000 1.7800,H,0,1.7800
r 10000 1.7800,M,0,1.7800
r 10000 1.7800,Q,1,1.7800
r 10000 1.7800,R,0,1.7800
r 10000 1.7900,H,1,1.7900
r 10000 1.7900,M,0,1.7900
r 10000 1.7900,Q,0,1.7900
r 10000 1.7900,R,0,1.7900
r 10000 1.8000,H,0,1.8000
r 10000 1.8000,M,1,1.8000
r 10000 1.8000,Q,0,1.8000
r 10000 1.8000,R,0,1.8000
r 10000 1.8100,H,0,1.8100
r 10000 1.8100,M,2,1.8100
r 10000 1.8100,Q,0,1.8100
r 10000 1.8100,R,0,1.8100
r 10000 1.8200,H,1,1.8200
r 10000 1.8200,M,0,1.8200
r 10000 1.8200,Q,0,1.8200
r 10000 1.8200,R,0,1.8200
r 10000 1.8300,H,0,1.8300
r 10000 1.8300,M,1,1.8300
r 10000 1.8300,Q,0,1.8300
r 10000 1.8300,R,0,1.8300
r 10000 1.8400,H,1,1.8400
r 10000 1.8400,M,0,1.8400
r 10000 1.8400,Q,1,1.8400
r 10000 1.8400,R,0,1.8400
r 10000 1.8500,H,1,1.8500
r 10000 1.8500,M,0,1.8500
r 10000 1.8500,Q,0,1.8500
r 10000 1.8500,R,0,1.8500
r 10000 1.8600,H,1,1.8600
r 10000 1.8600,M,0,1.8600
r 10000 1.8600,Q,0,1.8600
r 10000 1.8600,R,0,1.8600
r 10000 1.8700,H,1,1.8700
r 10000 1.8700,M,0,1.8700
r 10000 1.8700,Q,0,1.8700
r 10000 1.8700,R,1,1.8700
r 10000 1.8800,H,1,1.8800
r 10000 1.8800,M,0,1.8800
r 10000 1.8800,Q,0,1.8800
r 10000 1.8800,R,0,1.8800
r 10000 1.8900,H,1,1.8900
r 10000 1.8900,M,0,1.8900
r 10000 1.8900,Q,0,1.8900
r 10000 1.8900,R,0,1.8900
r 10000 1.9000,H,1,1.9000
r 10000 1.9000,M,0,1.9000
r 10000 1.9000,Q,0,1.9000
r 10000 1.9000,R,0,1.9000
r 10000 1.9100,H,0,1.9100
