Test Case,Algorithm,Execution Time,std
r 10000 0.1036,H,0,0.1036
r 10000 0.1036,M,0,0.1036
r 10000 0.1036,Q,1,0.1036
r 10000 0.1036,R,0,0.1036
r 10000 0.1037,H,0,0.1037
r 10000 0.1037,M,1,0.1037
r 10000 0.1037,Q,0,0.1037
r 10000 0.1037,R,0,0.1037
r 10000 0.1038,H,0,0.1038
r 10000 0.1038,M,0,0.1038
r 10000 0.1038,Q,0,0.1038
r 10000 0.1038,R,0,0.1038
r 10000 0.1039,H,0,0.1039
r 10000 0.1039,M,0,0.1039
r 10000 0.1039,Q,0,0.1039
r 10000 0.1039,R,0,0.1039
r 10000 0.1040,H,0,0.1040
r 10000 0.1040,M,3,0.1040
r 10000 0.1040,Q,0,0.1040
r 10000 0.1040,R,0,0.1040
r 10000 0.1041,H,0,0.1041
r 10000 0.1041,M,1,0.1041
r 10000 0.1041,Q,0,0.1041
r 10000 0.1041,R,0,0.1041
r 10000 0.1042,H,1,0.1042
r 10000 0.1042,M,0,0.1042
r 10000 0.1042,Q,0,0.1042
r 10000 0.1042,R,0,0.1042
r 10000 0.1043,H,0,0.1043
r 10000 0.1043,M,0,0.1043
r 10000 0.1043,Q,0,0.1043
r 10000 0.1043,R,0,0.1043
r 10000 0.1044,H,0,0.1044
r 10000 0.1044,M,1,0.1044
r 10000 0.1044,Q,0,0.1044
r 10000 0.1044,R,0,0.1044
r 10000 0.1045,H,0,0.1045
r 10000 0.1045,M,1,0.1045
r 10000 0.1045,Q,1,0.1045
r 10000 0.1045,R,0,0.1045
r 10000 0.1046,H,0,0.1046
r 10000 0.1046,M,0,0.1046
r 10000 0.1046,Q,0,0.1046
r 10000 0.1046,R,0,0.1046
r 10000 0.1047,H,1,0.1047
r 10000 0.1047,M,0,0.1047
r 10000 0.1047,Q,0,0.1047
r 10000 0.1047,R,1,0.1047
r 10000 0.1048,H,1,0.1048
r 10000 0.1048,M,0,0.1048
r 10000 0.1048,Q,0,0.1048
r 10000 0.1048,R,0,0.1048
r 10000 0.1049,H,0,0.1049
r 10000 0.1049,M,0,0.1049
r 10000 0.1049,Q,0,0.1049
r 10000 0.1049,R,0,0.1049
r 10000 0.1050,H,0,0.1050
r 10000 0.1050,M,0,0.1050
r 10000 0.1050,Q,0,0.1050
r 10000 0.1050,R,0,0.1050
r 10000 0.1051,H,0,0.1051
r 10000 0.1051,M,0,0.1051
r 10000 0.1051,Q,0,0.1051
r 10000 0.1051,R,0,0.1051
r 10000 0.1052,H,0,0.1052
r 10000 0.1052,M,1,0.1052
r 10000 0.1052,Q,0,0.1052
r 10000 0.1052,R,0,0.1052
r 10000 0.1053,H,0,0.1053
r 10000 0.1053,M,1,0.1053
r 10000 0.1053,Q,0,0.1053
r 10000 0.1053,R,0,0.1053
r 10000 0.1054,H,0,0.1054
r 10000 0.1054,M,0,0.1054
r 10000 0.1054,Q,0,0.1054
r 10000 0.1054,R,0,0.1054
r 10000 0.1055,H,0,0.1055
r 10000 0.1055,M,1,0.1055
r 10000 0.1055,Q,0,0.1055
r 10000 0.1055,R,0,0.1055
r 10000 0.1056,H,0,0.1056
r 10000 0.1056,M,1,0.1056
r 10000 0.1056,Q,0,0.1056
r 10000 0.1056,R,0,0.1056
r 10000 0.1057,H,0,0.1057
r 10000 0.1057,M,0,0.1057
r 10000 0.1057,Q,0,0.1057
r 10000 0.1057,R,0,0.1057
r 10000 0.1058,H,0,0.1058
r 10000 0.1058,M,1,0.1058
r 10000 0.1058,Q,0,0.1058
r 10000 0.1058,R,0,0.1058
r 10000 0.1059,H,0,0.1059
r 10000 0.1059,M,0,0.1059
r 10000 0.1059,Q,0,0.1059
r 10000 0.1059,R,0,0.1059
r 10000 0.1060,H,0,0.1060
r 10000 0.1060,M,0,0.1060
r 10000 0.1060,Q,0,0.1060
r 10000 0.1060,R,0,0.1060
r 10000 0.1061,H,0,0.1061
r 10000 0.1061,M,0,0.1061
r 10000 0.1061,Q,0,0.1061
r 10000 0.1061,R,0,0.1061
r 10000 0.1062,H,1,0.1062
r 10000 0.1062,M,0,0.1062
r 10000 0.1062,Q,0,0.1062
r 10000 0.1062,R,0,0.1062
r 10000 0.1063,H,0,0.1063
r 10000 0.1063,M,0,0.1063
r 10000 0.1063,Q,0,0.1063
r 10000 0.1063,R,0,0.1063
r 10000 0.1064,H,1,0.1064
r 10000 0.1064,M,0,0.1064
r 10000 0.1064,Q,0,0.1064
r 10000 0.1064,R,0,0.1064
r 10000 0.1065,H,0,0.1065
r 10000 0.1065,M,0,0.1065
r 10000 0.1065,Q,0,0.1065
r 10000 0.1065,R,0,0.1065
r 10000 0.1066,H,0,0.1066
r 10000 0.1066,M,0,0.1066
r 10000 0.1066,Q,0,0.1066
r 10000 0.1066,R,0,0.1066
r 10000 0.1067,H,0,0.1067
r 10000 0.1067,M,0,0.1067
r 10000 0.1067,Q,0,0.1067
r 10000 0.1067,R,0,0.1067
r 10000 0.1068,H,0,0.1068
r 10000 0.1068,M,0,0.1068
r 10000 0.1068,Q,0,0.1068
r 10000 0.1068,R,0,0.1068
r 10000 0.1069,H,0,0.1069
r 10000 0.1069,M,1,0.1069
r 10000 0.1069,Q,0,0.1069
r 10000 0.1069,R,0,0.1069
r 10000 0.1070,H,0,0.1070
r 10000 0.1070,M,0,0.1070
