Test Case,Algorithm,Execution Time,std
r 10000 0.5201,Q,0,0.5201
r 10000 0.5201,R,0,0.5201
r 10000 0.5202,H,0,0.5202
r 10000 0.5202,M,1,0.5202
r 10000 0.5202,Q,0,0.5202
r 10000 0.5202,R,0,0.5202
r 10000 0.5203,H,1,0.5203
r 10000 0.5203,M,0,0.5203
r 10000 0.5203,Q,0,0.5203
r 10000 0.5203,R,0,0.5203
r 10000 0.5204,H,0,0.5204
r 10000 0.5204,M,0,0.5204
r 10000 0.5204,Q,0,0.5204
r 10000 0.5204,R,0,0.5204
r 10000 0.5205,H,0,0.5205
r 10000 0.5205,M,0,0.5205
r 10000 0.5205,Q,0,0.5205
r 10000 0.5205,R,1,0.5205
r 10000 0.5206,H,0,0.5206
r 10000 0.5206,M,1,0.5206
r 10000 0.5206,Q,0,0.5206
r 10000 0.5206,R,0,0.5206
r 10000 0.5207,H,1,0.5207
r 10000 0.5207,M,0,0.5207
r 10000 0.5207,Q,0,0.5207
r 10000 0.5207,R,0,0.5207
r 10000 0.5208,H,0,0.5208
r 10000 0.5208,M,0,0.5208
r 10000 0.5208,Q,0,0.5208
r 10000 0.5208,R,0,0.5208
r 10000 0.5209,H,0,0.5209
r 10000 0.5209,M,1,0.5209
r 10000 0.5209,Q,0,0.5209
r 10000 0.5209,R,0,0.5209
r 10000 0.5210,H,1,0.5210
r 10000 0.5210,M,0,0.5210
r 10000 0.5210,Q,0,0.5210
r 10000 0.5210,R,0,0.5210
r 10000 0.5211,H,0,0.5211
r 10000 0.5211,M,0,0.5211
r 10000 0.5211,Q,0,0.5211
r 10000 0.5211,R,0,0.5211
r 10000 0.5212,H,0,0.5212
r 10000 0.5212,M,0,0.5212
r 10000 0.5212,Q,0,0.5212
r 10000 0.5212,R,0,0.5212
r 10000 0.5213,H,0,0.5213
r 10000 0.5213,M,1,0.5213
r 10000 0.5213,Q,0,0.5213
r 10000 0.5213,R,0,0.5213
r 10000 0.5214,H,1,0.5214
r 10000 0.5214,M,0,0.5214
r 10000 0.5214,Q,0,0.5214
r 10000 0.5214,R,0,0.5214
r 10000 0.5215,H,0,0.5215
r 10000 0.5215,M,0,0.5215
r 10000 0.5215,Q,0,0.5215
r 10000 0.5215,R,0,0.5215
r 10000 0.5216,H,0,0.5216
r 10000 0.5216,M,0,0.5216
r 10000 0.5216,Q,0,0.5216
r 10000 0.5216,R,1,0.5216
r 10000 0.5217,H,0,0.5217
r 10000 0.5217,M,1,0.5217
r 10000 0.5217,Q,0,0.5217
r 10000 0.5217,R,0,0.5217
r 10000 0.5218,H,1,0.5218
r 10000 0.5218,M,0,0.5218
r 10000 0.5218,Q,0,0.5218
r 10000 0.5218,R,0,0.5218
r 10000 0.5219,H,0,0.5219
r 10000 0.5219,M,0,0.5219
r 10000 0.5219,Q,0,0.5219
r 10000 0.5219,R,0,0.5219
r 10000 0.5220,H,0,0.5220
r 10000 0.5220,M,1,0.5220
r 10000 0.5220,Q,0,0.5220
r 10000 0.5220,R,0,0.5220
r 10000 0.5221,H,1,0.5221
r 10000 0.5221,M,0,0.5221
r 10000 0.5221,Q,0,0.5221
r 10000 0.5221,R,0,0.5221
r 10000 0.5222,H,1,0.5222
r 10000 0.5222,M,0,0.5222
r 10000 0.5222,Q,0,0.5222
r 10000 0.5222,R,0,0.5222
r 10000 0.5223,H,0,0.5223
r 10000 0.5223,M,0,0.5223
r 10000 0.5223,Q,0,0.5223
r 10000 0.5223,R,0,0.5223
r 10000 0.5224,H,0,0.5224
r 10000 0.5224,M,1,0.5224
r 10000 0.5224,Q,0,0.5224
r 10000 0.5224,R,0,0.5224
r 10000 0.5225,H,0,0.5225
r 10000 0.5225,M,1,0.5225
r 10000 0.5225,Q,0,0.5225
r 10000 0.5225,R,0,0.5225
r 10000 0.5226,H,1,0.5226
r 10000 0.5226,M,0,0.5226
r 10000 0.5226,Q,0,0.5226
r 10000 0.5226,R,0,0.5226
r 10000 0.5227,H,0,0.5227
r 10000 0.5227,M,0,0.5227
r 10000 0.5227,Q,0,0.5227
r 10000 0.5227,R,0,0.5227
r 10000 0.5228,H,0,0.5228
r 10000 0.5228,M,1,0.5228
r 10000 0.5228,Q,0,0.5228
r 10000 0.5228,R,0,0.5228
r 10000 0.5229,H,1,0.5229
r 10000 0.5229,M,0,0.5229
r 10000 0.5229,Q,0,0.5229
r 10000 0.5229,R,0,0.5229
r 10000 0.5230,H,0,0.5230
r 10000 0.5230,M,0,0.5230
r 10000 0.5230,Q,0,0.5230
r 10000 0.5230,R,0,0.5230
r 10000 0.5231,H,0,0.5231
r 10000 0.5231,M,1,0.5231
r 10000 0.5231,Q,0,0.5231
r 10000 0.5231,R,0,0.5231
r 10000 0.5232,H,1,0.5232
r 10000 0.5232,M,0,0.5232
r 10000 0.5232,Q,0,0.5232
r 10000 0.5232,R,0,0.5232
r 10000 0.5233,H,1,0.5233
r 10000 0.5233,M,0,0.5233
r 10000 0.5233,Q,0,0.5233
r 10000 0.5233,R,0,0.5233
r 10000 0.5234,H,0,0.5234
r 10000 0.5234,M,0,0.5234
r 10000 0.5234,Q,0,0.5234
r 10000 0.5234,R,0,0.5234
r 10000 0.5235,H,0,0.5235
r 10000 0.5235,M,1,0.5235
r 10000 0.5235,Q,0,0.5235
r 10000 0.5235,R,0,0.5235
r 10000 0.5236,H,1,0.5236
r 10000 0.5236,M,0,0.5236
r 10000 0.5236,Q,0,0.5236
r 10000 0.5236,R,0,0.5236
r 10000 0.5237,H,1,0.5237
r 10000 0.5237,M,0,0.5237
r 10000 0.5237,Q,0,0.5237
r 10000 0.5237,R,0,0.5237
r 10000 0.5238,H,0,0.5238
r 10000 0.5238,M,0,0.5238
r 10000 0.5238,Q,0,0.5238
r 10000 0.5238,R,0,0.5238
r 10000 0.5239,H,0,0.5239
r 10000 0.5239,M,1,0.5239
r 10000 0.5239,Q,0,0.5239
r 10000 0.5239,R,0,0.5239
r 10000 0.5240,H,1,0.5240
r 10000 0.5240,M,0,0.5240
r 10000 0.5240,Q,0,0.5240
r 10000 0.5240,R,0,0.5240
r 10000 0.5241,H,0,0.5241
r 10000 0.5241,M,0,0.5241
r 10000 0.5241,Q,0,0.5241
r 10000 0.5241,R,0,0.5241
r 10000 0.5242,H,0,0.5242
r 10000 0.5242,M,1,0.5242
r 10000 0.5242,Q,0,0.5242
r 10000 0.5242,R,0,0.5242
r 10000 0.5243,H,0,0.5243
r 10000 0.5243,M,1,0.5243
r 10000 0.5243,Q,0,0.5243
r 10000 0.5243,R,0,0.5243
r 10000 0.5244,H,1,0.5244
r 10000 0.5244,M,0,0.5244
r 10000 0.5244,Q,0,0.5244
r 10000 0.5244,R,0,0.5244
r 10000 0.5245,H,0,0.5245
r 10000 0.5245,M,0,0.5245
r 10000 0.5245,Q,0,0.5245
r 10000 0.5245,R,0,0.5245
r 10000 0.5246,H,0,0.5246
r 10000 0.5246,M,1,0.5246
r 10000 0.5246,Q,0,0.5246
r 10000 0.5246,R,0,0.5246
r 10000 0.5247,H,1,0.5247
r 10000 0.5247,M,0,0.5247
r 10000 0.5247,Q,0,0.5247
r 10000 0.5247,R,0,0.5247
r 10000 0.5248,H,1,0.5248
r 10000 0.5248,M,0,0.5248
r 10000 0.5248,Q,0,0.5248
r 10000 0.5248,R,0,0.5248
r 10000 0.5249,H,0,0.5249
r 10000 0.5249,M,0,0.5249
r 10000 0.5249,Q,0,0.5249
r 10000 0.5249,R,0,0.5249
r 10000 0.5250,H,0,0.5250
r 10000 0.5250,M,1,0.5250
r 10000 0.5250,Q,0,0.5250
r 10000 0.5250,R,0,0.5250
r 10000 0.5251,H,1,0.5251
r 10000 0.5251,M,0,0.5251
r 10000 0.5251,Q,0,0.5251
r 10000 0.5251,R,0,0.5251
r 10000 0.5252,H,0,0.5252
r 10000 0.5252,M,1,0.5252
r 10000 0.5252,Q,0,0.5252
r 10000 0.5252,R,0,0.5252
r 10000 0.5253,H,1,0.5253
r 10000 0.5253,M,0,0.5253
r 10000 0.5253,Q,0,0.5253
r 10000 0.5253,R,0,0.5253
r 10000 0.5254,H,1,0.5254
r 10000 0.5254,M,0,0.5254
r 10000 0.5254,Q,0,0.5254
r 10000 0.5254,R,0,0.5254
r 10000 0.5255,H,0,0.5255
r 10000 0.5255,M,0,0.5255
r 10000 0.5255,Q,0,0.5255
r 10000 0.5255,R,0,0.5255
r 10000 0.5256,H,0,0.5256
r 10000 0.5256,M,1,0.5256
r 10000 0.5256,Q,0,0.5256
r 10000 0.5256,R,0,0.5256
r 10000 0.5257,H,1,0.5257
r 10000 0.5257,M,0,0.5257
r 10000 0.5257,Q,0,0.5257
r 10000 0.5257,R,0,0.5257
r 10000 0.5258,H,0,0.5258
r 10000 0.5258,M,0,0.5258
r 10000 0.5258,Q,0,0.5258
r 10000 0.5258,R,1,0.5258
r 10000 0.5259,H,0,0.5259
r 10000 0.5259,M,1,0.5259
r 10000 0.5259,Q,0,0.5259
r 10000 0.5259,R,0,0.5259
r 10000 0.5260,H,0,0.5260
r 10000 0.5260,M,0,0.5260
r 10000 0.5260,Q,0,0.5260
r 10000 0.5260,R,0,0.5260
r 10000 0.5261,H,0,0.5261
r 10000 0.5261,M,1,0.5261
r 10000 0.5261,Q,0,0.5261
r 10000 0.5261,R,0,0.5261
r 10000 0.5262,H,1,0.5262
r 10000 0.5262,M,0,0.5262
r 10000 0.5262,Q,0,0.5262
r 10000 0.5262,R,0,0.5262
r 10000 0.5263,H,0,0.5263
r 10000 0.5263,M,0,0.5263
r 10000 0.5263,Q,0,0.5263
r 10000 0.5263,R,0,0.5263
r 10000 0.5264,H,0,0.5264
r 10000 0.5264,M,1,0.5264
r 10000 0.5264,Q,0,0.5264
r 10000 0.5264,R,0,0.5264
r 10000 0.5265,H,0,0.5265
r 10000 0.5265,M,0,0.5265
r 10000 0.5265,Q,0,0.5265
r 10000 0.5265,R,0,0.5265
r 10000 0.5266,H,0,0.5266
r 10000 0.5266,M,1,0.5266
r 10000 0.5266,Q,0,0.5266
r 10000 0.5266,R,0,0.5266
r 10000 0.5267,H,1,0.5267
r 10000 0.5267,M,0,0.5267
r 10000 0.5267,Q,0,0.5267
r 10000 0.5267,R,0,0.5267
r 10000 0.5268,H,0,0.5268
r 10000 0.5268,M,0,0.5268
r 10000 0.5268,Q,0,0.5268
r 10000 0.5268,R,1,0.5268
r 10000 0.5269,H,0,0.5269
r 10000 0.5269,M,1,0.5269
r 10000 0.5269,Q,0,0.5269
r 10000 0.5269,R,0,0.5269
r 10000 0.5270,H,1,0.5270
r 10000 0.5270,M,0,0.5270
r 10000 0.5270,Q,0,0.5270
r 10000 0.5270,R,0,0.5270
r 10000 0.5271,H,0,0.5271
r 10000 0.5271,M,1,0.5271
r 10000 0.5271,Q,0,0.5271
r 10000 0.5271,R,0,0.5271
r 10000 0.5272,H,1,0.5272
r 10000 0.5272,M,0,0.5272
r 10000 0.5272,Q,0,0.5272
r 10000 0.5272,R,0,0.5272
r 10000 0.5273,H,1,0.5273
r 10000 0.5273,M,0,0.5273
r 10000 0.5273,Q,0,0.5273
r 10000 0.5273,R,0,0.5273
r 10000 0.5274,H,0,0.5274
r 10000 0.5274,M,0,0.5274
r 10000 0.5274,Q,0,0.5274
r 10000 0.5274,R,0,0.5274
r 10000 0.5275,H,0,0.5275
r 10000 0.5275,M,0,0.5275
r 10000 0.5275,Q,1,0.5275
r 10000 0.5275,R,0,0.5275
r 10000 0.5276,H,0,0.5276
r 10000 0.5276,M,0,0.5276
r 10000 0.5276,Q,0,0.5276
r 10000 0.5276,R,0,0.5276
r 10000 0.5277,H,0,0.5277
r 10000 0.5277,M,0,0.5277
r 10000 0.5277,Q,0,0.5277
r 10000 0.5277,R,0,0.5277
r 10000 0.5278,H,0,0.5278
r 10000 0.5278,M,1,0.5278
r 10000 0.5278,Q,0,0.5278
r 10000 0.5278,R,0,0.5278
r 10000 0.5279,H,1,0.5279
r 10000 0.5279,M,0,0.5279
r 10000 0.5279,Q,0,0.5279
r 10000 0.5279,R,0,0.5279
r 10000 0.5280,H,0,0.5280
r 10000 0.5280,M,0,0.5280
r 10000 0.5280,Q,0,0.5280
r 10000 0.5280,R,0,0.5280
r 10000 0.5281,H,0,0.5281
r 10000 0.5281,M,1,0.5281
r 10000 0.5281,Q,0,0.5281
r 10000 0.5281,R,0,0.5281
r 10000 0.5282,H,1,0.5282
r 10000 0.5282,M,0,0.5282
r 10000 0.5282,Q,0,0.5282
r 10000 0.5282,R,0,0.5282
r 10000 0.5283,H,0,0.5283
r 10000 0.5283,M,0,0.5283
r 10000 0.5283,Q,0,0.5283
r 10000 0.5283,R,0,0.5283
r 10000 0.5284,H,0,0.5284
r 10000 0.5284,M,1,0.5284
r 10000 0.5284,Q,0,0.5284
r 10000 0.5284,R,0,0.5284
r 10000 0.5285,H,0,0.5285
r 10000 0.5285,M,0,0.5285
r 10000 0.5285,Q,0,0.5285
r 10000 0.5285,R,0,0.5285
r 10000 0.5286,H,0,0.5286
r 10000 0.5286,M,0,0.5286
r 10000 0.5286,Q,0,0.5286
r 10000 0.5286,R,1,0.5286
r 10000 0.5287,H,0,0.5287
r 10000 0.5287,M,1,0.5287
r 10000 0.5287,Q,0,0.5287
r 10000 0.5287,R,0,0.5287
r 10000 0.5288,H,1,0.5288
r 10000 0.5288,M,0,0.5288
r 10000 0.5288,Q,0,0.5288
r 10000 0.5288,R,0,0.5288
r 10000 0.5289,H,0,0.5289
r 10000 0.5289,M,0,0.5289
r 10000 0.5289,Q,0,0.5289
r 10000 0.5289,R,0,0.5289
r 10000 0.5290,H,0,0.5290
r 10000 0.5290,M,1,0.5290
r 10000 0.5290,Q,0,0.5290
r 10000 0.5290,R,0,0.5290
r 10000 0.5291,H,0,0.5291
r 10000 0.5291,M,0,0.5291
r 10000 0.5291,Q,0,0.5291
r 10000 0.5291,R,0,0.5291
r 10000 0.5292,H,0,0.5292
r 10000 0.5292,M,0,0.5292
r 10000 0.5292,Q,0,0.5292
r 10000 0.5292,R,0,0.5292
r 10000 0.5293,H,0,0.5293
r 10000 0.5293,M,1,0.5293
r 10000 0.5293,Q,0,0.5293
r 10000 0.5293,R,0,0.5293
r 10000 0.5294,H,1,0.5294
r 10000 0.5294,M,0,0.5294
r 10000 0.5294,Q,0,0.5294
r 10000 0.5294,R,0,0.5294
r 10000 0.5295,H,0,0.5295
r 10000 0.5295,M,0,0.5295
r 10000 0.5295,Q,0,0.5295
r 10000 0.5295,R,0,0.5295
r 10000 0.5296,H,0,0.5296
r 10000 0.5296,M,1,0.5296
r 10000 0.5296,Q,0,0.5296
r 10000 0.5296,R,0,0.5296
r 10000 0.5297,H,1,0.5297
r 10000 0.5297,M,0,0.5297
r 10000 0.5297,Q,0,0.5297
r 10000 0.5297,R,0,0.5297
r 10000 0.5298,H,0,0.5298
r 10000 0.5298,M,0,0.5298
r 10000 0.5298,Q,0,0.5298
r 10000 0.5298,R,0,0.5298
r 10000 0.5299,H,0,0.5299
r 10000 0.5299,M,0,0.5299
r 10000 0.5299,Q,1,0.5299
r 10000 0.5299,R,0,0.5299
r 10000 0.5300,H,0,0.5300
r 10000 0.5300,M,1,0.5300
r 10000 0.5300,Q,0,0.5300
r 10000 0.5300,R,0,0.5300
r 10000 0.5301,H,0,0.5301
r 10000 0.5301,M,0,0.5301
r 10000 0.5301,Q,0,0.5301
r 10000 0.5301,R,0,0.5301
r 10000 0.5302,H,0,0.5302
r 10000 0.5302,M,1,0.5302
r 10000 0.5302,Q,0,0.5302
r 10000 0.5302,R,0,0.5302
r 10000 0.5303,H,1,0.5303
r 10000 0.5303,M,0,0.5303
r 10000 0.5303,Q,0,0.5303
r 10000 0.5303,R,0,0.5303
r 10000 0.5304,H,0,0.5304
r 10000 0.5304,M,0,0.5304
r 10000 0.5304,Q,0,0.5304
r 10000 0.5304,R,0,0.5304
r 10000 0.5305,H,0,0.5305
r 10000 0.5305,M,0,0.5305
r 10000 0.5305,Q,0,0.5305
r 10000 0.5305,R,1,0.5305
r 10000 0.5306,H,0,0.5306
r 10000 0.5306,M,1,0.5306
r 10000 0.5306,Q,0,0.5306
r 10000 0.5306,R,0,0.5306
r 10000 0.5307,H,1,0.5307
r 10000 0.5307,M,0,0.5307
r 10000 0.5307,Q,0,0.5307
r 10000 0.5307,R,0,0.5307
r 10000 0.5308,H,0,0.5308
r 10000 0.5308,M,0,0.5308
r 10000 0.5308,Q,0,0.5308
r 10000 0.5308,R,0,0.5308
r 10000 0.5309,H,0,0.5309
r 10000 0.5309,M,1,0.5309
r 10000 0.5309,Q,0,0.5309
r 10000 0.5309,R,0,0.5309
r 10000 0.5310,H,1,0.5310
r 10000 0.5310,M,0,0.5310
r 10000 0.5310,Q,0,0.5310
r 10000 0.5310,R,0,0.5310
r 10000 0.5311,H,0,0.5311
r 10000 0.5311,M,0,0.5311
r 10000 0.5311,Q,0,0.5311
r 10000 0.5311,R,0,0.5311
r 10000 0.5312,H,0,0.5312
r 10000 0.5312,M,1,0.5312
r 10000 0.5312,Q,0,0.5312
r 10000 0.5312,R,0,0.5312
r 10000 0.5313,H,1,0.5313
r 10000 0.5313,M,0,0.5313
r 10000 0.5313,Q,0,0.5313
r 10000 0.5313,R,0,0.5313
r 10000 0.5314,H,0,0.5314
r 10000 0.5314,M,0,0.5314
r 10000 0.5314,Q,0,0.5314
r 10000 0.5314,R,0,0.5314
r 10000 0.5315,H,0,0.5315
r 10000 0.5315,M,0,0.5315
r 10000 0.5315,Q,0,0.5315
r 10000 0.5315,R,1,0.5315
r 10000 0.5316,H,0,0.5316
r 10000 0.5316,M,1,0.5316
r 10000 0.5316,Q,0,0.5316
r 10000 0.5316,R,0,0.5316
r 10000 0.5317,H,1,0.5317
r 10000 0.5317,M,0,0.5317
r 10000 0.5317,Q,0,0.5317
r 10000 0.5317,R,0,0.5317
r 10000 0.5318,H,0,0.5318
r 10000 0.5318,M,0,0.5318
r 10000 0.5318,Q,0,0.5318
r 10000 0.5318,R,0,0.5318
r 10000 0.5319,H,0,0.5319
r 10000 0.5319,M,1,0.5319
r 10000 0.5319,Q,0,0.5319
r 10000 0.5319,R,0,0.5319
r 10000 0.5320,H,1,0.5320
r 10000 0.5320,M,0,0.5320
r 10000 0.5320,Q,0,0.5320
r 10000 0.5320,R,0,0.5320
r 10000 0.5321,H,0,0.5321
r 10000 0.5321,M,0,0.5321
r 10000 0.5321,Q,0,0.5321
r 10000 0.5321,R,1,0.5321
r 10000 0.5322,H,0,0.5322
r 10000 0.5322,M,1,0.5322
r 10000 0.5322,Q,0,0.5322
r 10000 0.5322,R,0,0.5322
r 10000 0.5323,H,1,0.5323
r 10000 0.5323,M,0,0.5323
r 10000 0.5323,Q,0,0.5323
r 10000 0.5323,R,0,0.5323
r 10000 0.5324,H,0,0.5324
r 10000 0.5324,M,0,0.5324
r 10000 0.5324,Q,0,0.5324
r 10000 0.5324,R,0,0.5324
r 10000 0.5325,H,0,0.5325
r 10000 0.5325,M,1,0.5325
r 10000 0.5325,Q,0,0.5325
r 10000 0.5325,R,0,0.5325
r 10000 0.5326,H,1,0.5326
r 10000 0.5326,M,0,0.5326
r 10000 0.5326,Q,0,0.5326
r 10000 0.5326,R,0,0.5326
r 10000 0.5327,H,0,0.5327
r 10000 0.5327,M,0,0.5327
r 10000 0.5327,Q,0,0.5327
r 10000 0.5327,R,0,0.5327
r 10000 0.5328,H,0,0.5328
r 10000 0.5328,M,1,0.5328
r 10000 0.5328,Q,0,0.5328
r 10000 0.5328,R,0,0.5328
r 10000 0.5329,H,1,0.5329
r 10000 0.5329,M,0,0.5329
r 10000 0.5329,Q,0,0.5329
r 10000 0.5329,R,0,0.5329
r 10000 0.5330,H,0,0.5330
r 10000 0.5330,M,0,0.5330
r 10000 0.5330,Q,0,0.5330
r 10000 0.5330,R,0,0.5330
r 10000 0.5331,H,0,0.5331
r 10000 0.5331,M,1,0.5331
r 10000 0.5331,Q,0,0.5331
r 10000 0.5331,R,0,0.5331
r 10000 0.5332,H,1,0.5332
r 10000 0.5332,M,0,0.5332
r 10000 0.5332,Q,0,0.5332
r 10000 0.5332,R,0,0.5332
r 10000 0.5333,H,0,0.5333
r 10000 0.5333,M,0,0.5333
r 10000 0.5333,Q,0,0.5333
r 10000 0.5333,R,0,0.5333
r 10000 0.5334,H,0,0.5334
r 10000 0.5334,M,1,0.5334
r 10000 0.5334,Q,0,0.5334
r 10000 0.5334,R,0,0.5334
r 10000 0.5335,H,1,0.5335
r 10000 0.5335,M,0,0.5335
r 10000 0.5335,Q,0,0.5335
r 10000 0.5335,R,0,0.5335
r 10000 0.5336,H,1,0.5336
r 10000 0.5336,M,0,0.5336
r 10000 0.5336,Q,0,0.5336
r 10000 0.5336,R,0,0.5336
r 10000 0.5337,H,0,0.5337
r 10000 0.5337,M,0,0.5337
r 10000 0.5337,Q,0,0.5337
r 10000 0.5337,R,0,0.5337
r 10000 0.5338,H,0,0.5338
r 10000 0.5338,M,1,0.5338
r 10000 0.5338,Q,0,0.5338
r 10000 0.5338,R,0,0.5338
r 10000 0.5339,H,1,0.5339
r 10000 0.5339,M,0,0.5339
r 10000 0.5339,Q,0,0.5339
r 10000 0.5339,R,0,0.5339
r 10000 0.5340,H,0,0.5340
r 10000 0.5340,M,0,0.5340
r 10000 0.5340,Q,0,0.5340
r 10000 0.5340,R,0,0.5340
r 10000 0.5341,H,0,0.5341
r 10000 0.5341,M,1,0.5341
r 10000 0.5341,Q,0,0.5341
r 10000 0.5341,R,0,0.5341
r 10000 0.5342,H,0,0.5342
r 10000 0.5342,M,1,0.5342
r 10000 0.5342,Q,0,0.5342
r 10000 0.5342,R,0,0.5342
r 10000 0.5343,H,1,0.5343
r 10000 0.5343,M,0,0.5343
r 10000 0.5343,Q,0,0.5343
r 10000 0.5343,R,0,0.5343
r 10000 0.5344,H,0,0.5344
r 10000 0.5344,M,0,0.5344
r 10000 0.5344,Q,0,0.5344
r 10000 0.5344,R,0,0.5344
r 10000 0.5345,H,0,0.5345
r 10000 0.5345,M,1,0.5345
r 10000 0.5345,Q,0,0.5345
r 10000 0.5345,R,0,0.5345
r 10000 0.5346,H,1,0.5346
r 10000 0.5346,M,0,0.5346
r 10000 0.5346,Q,0,0.5346
r 10000 0.5346,R,0,0.5346
r 10000 0.5347,H,1,0.5347
r 10000 0.5347,M,0,0.5347
r 10000 0.5347,Q,0,0.5347
r 10000 0.5347,R,0,0.5347
r 10000 0.5348,H,0,0.5348
r 10000 0.5348,M,0,0.5348
r 10000 0.5348,Q,0,0.5348
r 10000 0.5348,R,0,0.5348
r 10000 0.5349,H,0,0.5349
r 10000 0.5349,M,1,0.5349
r 10000 0.5349,Q,0,0.5349
r 10000 0.5349,R,0,0.5349
r 10000 0.5350,H,1,0.5350
r 10000 0.5350,M,0,0.5350
r 10000 0.5350,Q,0,0.5350
r 10000 0.5350,R,0,0.5350
r 10000 0.5351,H,0,0.5351
r 10000 0.5351,M,0,0.5351
r 10000 0.5351,Q,0,0.5351
r 10000 0.5351,R,0,0.5351
r 10000 0.5352,H,0,0.5352
r 10000 0.5352,M,0,0.5352
r 10000 0.5352,Q,1,0.5352
r 10000 0.5352,R,0,0.5352
r 10000 0.5353,H,0,0.5353
r 10000 0.5353,M,1,0.5353
r 10000 0.5353,Q,0,0.5353
r 10000 0.5353,R,0,0.5353
r 10000 0.5354,H,1,0.5354
r 10000 0.5354,M,0,0.5354
r 10000 0.5354,Q,0,0.5354
r 10000 0.5354,R,0,0.5354
r 10000 0.5355,H,0,0.5355
r 10000 0.5355,M,0,0.5355
r 10000 0.5355,Q,0,0.5355
r 10000 0.5355,R,0,0.5355
r 10000 0.5356,H,0,0.5356
r 10000 0.5356,M,0,0.5356
r 10000 0.5356,Q,0,0.5356
r 10000 0.5356,R,0,0.5356
r 10000 0.5357,H,0,0.5357
r 10000 0.5357,M,0,0.5357
r 10000 0.5357,Q,0,0.5357
r 10000 0.5357,R,0,0.5357
r 10000 0.5358,H,0,0.5358
r 10000 0.5358,M,0,0.5358
r 10000 0.5358,Q,0,0.5358
r 10000 0.5358,R,1,0.5358
r 10000 0.5359,H,0,0.5359
r 10000 0.5359,M,1,0.5359
r 10000 0.5359,Q,0,0.5359
r 10000 0.5359,R,0,0.5359
r 10000 0.5360,H,0,0.5360
r 10000 0.5360,M,0,0.5360
r 10000 0.5360,Q,0,0.5360
r 10000 0.5360,R,0,0.5360
r 10000 0.5361,H,0,0.5361
r 10000 0.5361,M,1,0.5361
r 10000 0.5361,Q,0,0.5361
r 10000 0.5361,R,0,0.5361
r 10000 0.5362,H,1,0.5362
r 10000 0.5362,M,0,0.5362
r 10000 0.5362,Q,0,0.5362
r 10000 0.5362,R,0,0.5362
r 10000 0.5363,H,0,0.5363
r 10000 0.5363,M,0,0.5363
r 10000 0.5363,Q,0,0.5363
r 10000 0.5363,R,0,0.5363
r 10000 0.5364,H,0,0.5364
r 10000 0.5364,M,0,0.5364
r 10000 0.5364,Q,1,0.5364
r 10000 0.5364,R,0,0.5364
r 10000 0.5365,H,1,0.5365
r 10000 0.5365,M,0,0.5365
r 10000 0.5365,Q,0,0.5365
r 10000 0.5365,R,0,0.5365
r 10000 0.5366,H,0,0.5366
r 10000 0.5366,M,0,0.5366
r 10000 0.5366,Q,0,0.5366
r 10000 0.5366,R,0,0.5366
r 10000 0.5367,H,0,0.5367
r 10000 0.5367,M,1,0.5367
r 10000 0.5367,Q,0,0.5367
r 10000 0.5367,R,0,0.5367
r 10000 0.5368,H,1,0.5368
r 10000 0.5368,M,0,0.5368
r 10000 0.5368,Q,0,0.5368
r 10000 0.5368,R,0,0.5368
r 10000 0.5369,H,1,0.5369
r 10000 0.5369,M,0,0.5369
r 10000 0.5369,Q,0,0.5369
r 10000 0.5369,R,0,0.5369
r 10000 0.5370,H,0,0.5370
r 10000 0.5370,M,0,0.5370
r 10000 0.5370,Q,0,0.5370
r 10000 0.5370,R,0,0.5370
r 10000 0.5371,H,0,0.5371
r 10000 0.5371,M,1,0.5371
r 10000 0.5371,Q,0,0.5371
r 10000 0.5371,R,0,0.5371
r 10000 0.5372,H,1,0.5372
r 10000 0.5372,M,0,0.5372
r 10000 0.5372,Q,0,0.5372
r 10000 0.5372,R,0,0.5372
r 10000 0.5373,H,0,0.5373
r 10000 0.5373,M,0,0.5373
r 10000 0.5373,Q,0,0.5373
r 10000 0.5373,R,0,0.5373
r 10000 0.5374,H,0,0.5374
r 10000 0.5374,M,1,0.5374
r 10000 0.5374,Q,0,0.5374
r 10000 0.5374,R,0,0.5374
r 10000 0.5375,H,0,0.5375
r 10000 0.5375,M,0,0.5375
r 10000 0.5375,Q,0,0.5375
r 10000 0.5375,R,0,0.5375
r 10000 0.5376,H,0,0.5376
r 10000 0.5376,M,1,0.5376
r 10000 0.5376,Q,0,0.5376
r 10000 0.5376,R,0,0.5376
r 10000 0.5377,H,1,0.5377
r 10000 0.5377,M,0,0.5377
r 10000 0.5377,Q,0,0.5377
r 10000 0.5377,R,0,0.5377
r 10000 0.5378,H,0,0.5378
r 10000 0.5378,M,0,0.5378
r 10000 0.5378,Q,1,0.5378
r 10000 0.5378,R,0,0.5378
r 10000 0.5379,H,0,0.5379
r 10000 0.5379,M,1,0.5379
r 10000 0.5379,Q,0,0.5379
r 10000 0.5379,R,0,0.5379
r 10000 0.5380,H,1,0.5380
r 10000 0.5380,M,0,0.5380
r 10000 0.5380,Q,0,0.5380
r 10000 0.5380,R,0,0.5380
r 10000 0.5381,H,0,0.5381
r 10000 0.5381,M,0,0.5381
r 10000 0.5381,Q,0,0.5381
r 10000 0.5381,R,0,0.5381
r 10000 0.5382,H,0,0.5382
r 10000 0.5382,M,1,0.5382
r 10000 0.5382,Q,0,0.5382
r 10000 0.5382,R,0,0.5382
