Algorithm,swapRate,SortedRatio,ExecutionTime
I,0.000039,0.999924,42
H,0.000039,0.999924,48
M,0.000039,0.999924,24
Q,0.000039,0.999924,351
R,0.000039,0.999924,21
I,0.000040,0.999922,40
H,0.000040,0.999922,49
M,0.000040,0.999922,24
Q,0.000040,0.999922,278
R,0.000040,0.999922,21
I,0.000041,0.999920,46
H,0.000041,0.999920,49
M,0.000041,0.999920,24
Q,0.000041,0.999920,639
R,0.000041,0.999920,22
I,0.000042,0.999918,55
H,0.000042,0.999918,47
M,0.000042,0.999918,24
Q,0.000042,0.999918,266
R,0.000042,0.999918,22
I,0.000043,0.999916,53
H,0.000043,0.999916,48
M,0.000043,0.999916,24
Q,0.000043,0.999916,255
R,0.000043,0.999916,21
I,0.000044,0.999914,45
H,0.000044,0.999914,49
M,0.000044,0.999914,25
Q,0.000044,0.999914,290
R,0.000044,0.999914,21
I,0.000045,0.999912,47
H,0.000045,0.999912,51
M,0.000045,0.999912,26
Q,0.000045,0.999912,262
R,0.000045,0.999912,22
I,0.000046,0.999910,39
H,0.000046,0.999910,50
M,0.000046,0.999910,26
Q,0.000046,0.999910,461
R,0.000046,0.999910,21
I,0.000047,0.999908,52
H,0.000047,0.999908,49
M,0.000047,0.999908,25
Q,0.000047,0.999908,328
R,0.000047,0.999908,22
I,0.000048,0.999906,55
H,0.000048,0.999906,49
M,0.000048,0.999906,24
Q,0.000048,0.999906,273
R,0.000048,0.999906,20
I,0.000049,0.999904,48
H,0.000049,0.999904,50
M,0.000049,0.999904,25
Q,0.000049,0.999904,364
R,0.000049,0.999904,21
I,0.000050,0.999902,51
H,0.000050,0.999902,49
M,0.000050,0.999902,25
Q,0.000050,0.999902,304
R,0.000050,0.999902,21
I,0.000051,0.999900,42
H,0.000051,0.999900,47
M,0.000051,0.999900,25
Q,0.000051,0.999900,273
R,0.000051,0.999900,21
I,0.000052,0.999898,57
H,0.000052,0.999898,48
M,0.000052,0.999898,25
Q,0.000052,0.999898,345
R,0.000052,0.999898,21
I,0.000053,0.999896,61
H,0.000053,0.999896,48
M,0.000053,0.999896,25
Q,0.000053,0.999896,389
R,0.000053,0.999896,22
I,0.000054,0.999894,58
H,0.000054,0.999894,49
M,0.000054,0.999894,25
Q,0.000054,0.999894,253
R,0.000054,0.999894,20
I,0.000055,0.999892,57
H,0.000055,0.999892,49
M,0.000055,0.999892,24
Q,0.000055,0.999892,445
R,0.000055,0.999892,20
I,0.000056,0.999890,62
H,0.000056,0.999890,50
M,0.000056,0.999890,24
Q,0.000056,0.999890,546
R,0.000056,0.999890,22
I,0.000057,0.999888,53
H,0.000057,0.999888,47
M,0.000057,0.999888,24
Q,0.000057,0.999888,287
R,0.000057,0.999888,20
I,0.000058,0.999886,53
H,0.000058,0.999886,48
M,0.000058,0.999886,24
Q,0.000058,0.999886,270
R,0.000058,0.999886,21
I,0.000059,0.999885,71
H,0.000059,0.999885,48
M,0.000059,0.999885,25
Q,0.000059,0.999885,269
R,0.000059,0.999885,22
I,0.000060,0.999882,54
H,0.000060,0.999882,48
M,0.000060,0.999882,25
Q,0.000060,0.999882,261
R,0.000060,0.999882,20
I,0.000061,0.999880,64
H,0.000061,0.999880,49
M,0.000061,0.999880,25
Q,0.000061,0.999880,251
R,0.000061,0.999880,20
I,0.000062,0.999878,66
H,0.000062,0.999878,47
M,0.000062,0.999878,24
Q,0.000062,0.999878,306
R,0.000062,0.999878,21
I,0.000063,0.999876,82
H,0.000063,0.999876,48
M,0.000063,0.999876,25
Q,0.000063,0.999876,248
R,0.000063,0.999876,21
I,0.000064,0.999874,61
H,0.000064,0.999874,50
M,0.000064,0.999874,25
Q,0.000064,0.999874,292
R,0.000064,0.999874,20
I,0.000065,0.999872,70
H,0.000065,0.999872,48
M,0.000065,0.999872,24
Q,0.000065,0.999872,285
R,0.000065,0.999872,21
I,0.000066,0.999870,68
H,0.000066,0.999870,48
M,0.000066,0.999870,25
Q,0.000066,0.999870,458
R,0.000066,0.999870,21
I,0.000067,0.999868,70
H,0.000067,0.999868,49
M,0.000067,0.999868,25
Q,0.000067,0.999868,269
R,0.000067,0.999868,20
I,0.000068,0.999866,76
H,0.000068,0.999866,49
M,0.000068,0.999866,25
Q,0.000068,0.999866,345
R,0.000068,0.999866,21
I,0.000069,0.999864,68
H,0.000069,0.999864,48
M,0.000069,0.999864,24
Q,0.000069,0.999864,226
R,0.000069,0.999864,20
I,0.000070,0.999862,71
H,0.000070,0.999862,48
