Algorithm,swapRate,SortedRatio,ExecutionTime
I,0.001290,0.997430,1450
H,0.001290,0.997430,50
M,0.001290,0.997430,28
Q,0.001290,0.997430,103
R,0.001290,0.997430,22
I,0.001291,0.997431,1407
H,0.001291,0.997431,52
M,0.001291,0.997431,27
Q,0.001291,0.997431,137
R,0.001291,0.997431,21
I,0.001292,0.997428,1507
H,0.001292,0.997428,50
M,0.001292,0.997428,27
Q,0.001292,0.997428,127
R,0.001292,0.997428,23
I,0.001293,0.997419,1478
H,0.001293,0.997419,50
M,0.001293,0.997419,27
Q,0.001293,0.997419,139
R,0.001293,0.997419,22
I,0.001294,0.997417,1488
H,0.001294,0.997417,51
M,0.001294,0.997417,28
Q,0.001294,0.997417,95
R,0.001294,0.997417,22
I,0.001295,0.997419,1403
H,0.001295,0.997419,50
M,0.001295,0.997419,27
Q,0.001295,0.997419,105
R,0.001295,0.997419,23
I,0.001296,0.997416,1476
H,0.001296,0.997416,50
M,0.001296,0.997416,27
Q,0.001296,0.997416,94
R,0.001296,0.997416,22
I,0.001297,0.997418,1442
H,0.001297,0.997418,51
M,0.001297,0.997418,27
Q,0.001297,0.997418,94
R,0.001297,0.997418,22
I,0.001298,0.997417,1481
H,0.001298,0.997417,51
M,0.001298,0.997417,28
Q,0.001298,0.997417,195
R,0.001298,0.997417,22
I,0.001299,0.997412,1467
H,0.001299,0.997412,50
M,0.001299,0.997412,28
Q,0.001299,0.997412,93
R,0.001299,0.997412,22
I,0.001300,0.997410,1501
H,0.001300,0.997410,51
M,0.001300,0.997410,28
Q,0.001300,0.997410,98
R,0.001300,0.997410,22
I,0.001301,0.997409,1476
H,0.001301,0.997409,51
M,0.001301,0.997409,28
Q,0.001301,0.997409,95
R,0.001301,0.997409,23
I,0.001302,0.997399,1453
H,0.001302,0.997399,50
M,0.001302,0.997399,28
Q,0.001302,0.997399,96
R,0.001302,0.997399,21
I,0.001303,0.997402,1486
H,0.001303,0.997402,51
M,0.001303,0.997402,28
Q,0.001303,0.997402,107
R,0.001303,0.997402,21
I,0.001304,0.997404,1399
H,0.001304,0.997404,50
M,0.001304,0.997404,27
Q,0.001304,0.997404,89
R,0.001304,0.997404,23
I,0.001305,0.997398,1469
H,0.001305,0.997398,50
M,0.001305,0.997398,29
Q,0.001305,0.997398,100
R,0.001305,0.997398,22
I,0.001306,0.997397,1436
H,0.001306,0.997397,51
M,0.001306,0.997397,28
Q,0.001306,0.997397,90
R,0.001306,0.997397,21
I,0.001307,0.997393,1518
H,0.001307,0.997393,50
M,0.001307,0.997393,28
Q,0.001307,0.997393,94
R,0.001307,0.997393,23
I,0.001308,0.997393,1477
H,0.001308,0.997393,50
M,0.001308,0.997393,27
Q,0.001308,0.997393,93
R,0.001308,0.997393,22
I,0.001309,0.997388,1444
H,0.001309,0.997388,51
M,0.001309,0.997388,27
Q,0.001309,0.997388,99
R,0.001309,0.997388,23
I,0.001310,0.997388,1435
H,0.001310,0.997388,50
M,0.001310,0.997388,27
Q,0.001310,0.997388,90
R,0.001310,0.997388,22
I,0.001311,0.997390,1495
H,0.001311,0.997390,50
M,0.001311,0.997390,27
Q,0.001311,0.997390,97
R,0.001311,0.997390,21
I,0.001312,0.997386,1477
H,0.001312,0.997386,51
M,0.001312,0.997386,28
Q,0.001312,0.997386,105
R,0.001312,0.997386,22
I,0.001313,0.997385,1487
H,0.001313,0.997385,50
M,0.001313,0.997385,28
Q,0.001313,0.997385,90
R,0.001313,0.997385,22
I,0.001314,0.997376,1508
H,0.001314,0.997376,50
M,0.001314,0.997376,28
Q,0.001314,0.997376,89
R,0.001314,0.997376,21
I,0.001315,0.997377,1502
H,0.001315,0.997377,52
M,0.001315,0.997377,28
Q,0.001315,0.997377,98
R,0.001315,0.997377,22
I,0.001316,0.997382,1460
H,0.001316,0.997382,50
M,0.001316,0.997382,27
Q,0.001316,0.997382,94
R,0.001316,0.997382,22
I,0.001317,0.997379,1479
H,0.001317,0.997379,50
M,0.001317,0.997379,27
Q,0.001317,0.997379,98
R,0.001317,0.997379,21
I,0.001318,0.997375,1471
H,0.001318,0.997375,51
M,0.001318,0.997375,28
Q,0.001318,0.997375,96
R,0.001318,0.997375,23
I,0.001319,0.997368,1472
H,0.001319,0.997368,50
M,0.001319,0.997368,28
Q,0.001319,0.997368,94
R,0.001319,0.997368,22
I,0.001320,0.997367,1458
H,0.001320,0.997367,51
M,0.001320,0.997367,28
Q,0.001320,0.997367,93
R,0.001320,0.997367,21
I,0.001321,0.997368,1461
H,0.001321,0.997368,51
M,0.001321,0.997368,27
Q,0.001321,0.997368,87
R,0.001321,0.997368,22
I,0.001322,0.997363,1483
H,0.001322,0.997363,50
M,0.001322,0.997363,27
Q,0.001322,0.997363,99
R,0.001322,0.997363,23
I,0.001323,0.997365,1481
H,0.001323,0.997365,50
M,0.001323,0.997365,28
Q,0.001323,0.997365,97
R,0.001323,0.997365,21
I,0.001324,0.997364,1516
H,0.001324,0.997364,53
M,0.001324,0.997364,28
Q,0.001324,0.997364,103
R,0.001324,0.997364,21
I,0.001325,0.997355,1489
H,0.001325,0.997355,50
M,0.001325,0.997355,27
Q,0.001325,0.997355,102
R,0.001325,0.997355,22
I,0.001326,0.997355,1484
H,0.001326,0.997355,50
M,0.001326,0.997355,27
Q,0.001326,0.997355,96
R,0.001326,0.997355,21
I,0.001327,0.997354,1495
H,0.001327,0.997354,51
M,0.001327,0.997354,28
Q,0.001327,0.997354,91
R,0.001327,0.997354,22
I,0.001328,0.997351,1523
H,0.001328,0.997351,51
M,0.001328,0.997351,28
Q,0.001328,0.997351,106
R,0.001328,0.997351,22
I,0.001329,0.997351,1553
H,0.001329,0.997351,50
M,0.001329,0.997351,28
Q,0.001329,0.997351,107
R,0.001329,0.997351,21
I,0.001330,0.997347,1514
H,0.001330,0.997347,51
M,0.001330,0.997347,28
Q,0.001330,0.997347,135
R,0.001330,0.997347,21
I,0.001331,0.997346,1526
H,0.001331,0.997346,50
M,0.001331,0.997346,29
Q,0.001331,0.997346,100
R,0.001331,0.997346,22
I,0.001332,0.997343,1587
H,0.001332,0.997343,50
M,0.001332,0.997343,28
Q,0.001332,0.997343,106
R,0.001332,0.997343,21
I,0.001333,0.997343,1533
H,0.001333,0.997343,52
M,0.001333,0.997343,28
Q,0.001333,0.997343,93
R,0.001333,0.997343,21
I,0.001334,0.997342,1506
H,0.001334,0.997342,50
M,0.001334,0.997342,27
Q,0.001334,0.997342,97
R,0.001334,0.997342,22
I,0.001335,0.997339,1528
H,0.001335,0.997339,51
M,0.001335,0.997339,28
Q,0.001335,0.997339,99
R,0.001335,0.997339,21
I,0.001336,0.997335,1543
H,0.001336,0.997335,51
M,0.001336,0.997335,28
Q,0.001336,0.997335,101
R,0.001336,0.997335,22
I,0.001337,0.997336,1527
H,0.001337,0.997336,50
M,0.001337,0.997336,28
Q,0.001337,0.997336,104
R,0.001337,0.997336,22
I,0.001338,0.997333,1531
H,0.001338,0.997333,50
M,0.001338,0.997333,28
Q,0.001338,0.997333,124
R,0.001338,0.997333,21
I,0.001339,0.997331,1482
H,0.001339,0.997331,51
M,0.001339,0.997331,27
Q,0.001339,0.997331,99
R,0.001339,0.997331,22
I,0.001340,0.997331,1513
H,0.001340,0.997331,50
M,0.001340,0.997331,28
Q,0.001340,0.997331,91
R,0.001340,0.997331,23
I,0.001341,0.997329,1506
H,0.001341,0.997329,50
M,0.001341,0.997329,27
Q,0.001341,0.997329,99
R,0.001341,0.997329,22
I,0.001342,0.997326,1484
H,0.001342,0.997326,50
M,0.001342,0.997326,28
Q,0.001342,0.997326,102
R,0.001342,0.997326,22
I,0.001343,0.997322,1509
H,0.001343,0.997322,50
M,0.001343,0.997322,27
Q,0.001343,0.997322,95
R,0.001343,0.997322,22
I,0.001344,0.997321,1563
H,0.001344,0.997321,50
M,0.001344,0.997321,28
Q,0.001344,0.997321,100
R,0.001344,0.997321,22
I,0.001345,0.997317,1540
H,0.001345,0.997317,51
M,0.001345,0.997317,28
Q,0.001345,0.997317,96
R,0.001345,0.997317,21
I,0.001346,0.997322,1555
H,0.001346,0.997322,51
M,0.001346,0.997322,27
Q,0.001346,0.997322,96
R,0.001346,0.997322,23
I,0.001347,0.997313,1513
H,0.001347,0.997313,50
M,0.001347,0.997313,28
Q,0.001347,0.997313,96
R,0.001347,0.997313,22
I,0.001348,0.997320,1566
H,0.001348,0.997320,51
M,0.001348,0.997320,28
Q,0.001348,0.997320,89
R,0.001348,0.997320,22
I,0.001349,0.997308,1518
H,0.001349,0.997308,50
M,0.001349,0.997308,28
Q,0.001349,0.997308,90
R,0.001349,0.997308,22
I,0.001350,0.997307,1523
H,0.001350,0.997307,50
M,0.001350,0.997307,28
Q,0.001350,0.997307,92
R,0.001350,0.997307,21
I,0.001351,0.997310,1555
H,0.001351,0.997310,51
M,0.001351,0.997310,28
Q,0.001351,0.997310,108
R,0.001351,0.997310,22
I,0.001352,0.997302,1588
H,0.001352,0.997302,50
M,0.001352,0.997302,27
Q,0.001352,0.997302,101
R,0.001352,0.997302,23
I,0.001353,0.997300,1554
H,0.001353,0.997300,50
M,0.001353,0.997300,28
Q,0.001353,0.997300,87
R,0.001353,0.997300,21
I,0.001354,0.997302,1508
H,0.001354,0.997302,52
M,0.001354,0.997302,27
Q,0.001354,0.997302,114
R,0.001354,0.997302,22
I,0.001355,0.997301,1584
H,0.001355,0.997301,51
M,0.001355,0.997301,27
Q,0.001355,0.997301,92
R,0.001355,0.997301,23
I,0.001356,0.997298,1529
H,0.001356,0.997298,50
M,0.001356,0.997298,28
Q,0.001356,0.997298,100
R,0.001356,0.997298,22
I,0.001357,0.997295,1547
H,0.001357,0.997295,51
M,0.001357,0.997295,27
Q,0.001357,0.997295,89
R,0.001357,0.997295,21
I,0.001358,0.997292,1556
H,0.001358,0.997292,51
M,0.001358,0.997292,27
Q,0.001358,0.997292,95
R,0.001358,0.997292,22
I,0.001359,0.997286,1537
H,0.001359,0.997286,50
M,0.001359,0.997286,28
Q,0.001359,0.997286,89
R,0.001359,0.997286,22
I,0.001360,0.997288,1574
H,0.001360,0.997288,53
M,0.001360,0.997288,27
Q,0.001360,0.997288,96
R,0.001360,0.997288,21
I,0.001361,0.997284,1547
H,0.001361,0.997284,50
M,0.001361,0.997284,27
Q,0.001361,0.997284,93
R,0.001361,0.997284,24
I,0.001362,0.997287,1540
H,0.001362,0.997287,50
M,0.001362,0.997287,27
Q,0.001362,0.997287,96
R,0.001362,0.997287,21
I,0.001363,0.997283,1503
H,0.001363,0.997283,51
M,0.001363,0.997283,28
Q,0.001363,0.997283,87
R,0.001363,0.997283,21
I,0.001364,0.997278,1531
H,0.001364,0.997278,50
M,0.001364,0.997278,27
Q,0.001364,0.997278,102
R,0.001364,0.997278,22
I,0.001365,0.997281,1566
H,0.001365,0.997281,51
M,0.001365,0.997281,27
Q,0.001365,0.997281,102
R,0.001365,0.997281,21
I,0.001366,0.997278,1524
H,0.001366,0.997278,50
M,0.001366,0.997278,27
Q,0.001366,0.997278,91
R,0.001366,0.997278,21
I,0.001367,0.997276,1564
H,0.001367,0.997276,50
M,0.001367,0.997276,27
Q,0.001367,0.997276,95
R,0.001367,0.997276,22
I,0.001368,0.997272,1524
H,0.001368,0.997272,50
M,0.001368,0.997272,28
Q,0.001368,0.997272,92
R,0.001368,0.997272,22
I,0.001369,0.997273,1578
H,0.001369,0.997273,51
M,0.001369,0.997273,27
Q,0.001369,0.997273,92
R,0.001369,0.997273,21
I,0.001370,0.997266,1575
H,0.001370,0.997266,50
M,0.001370,0.997266,28
Q,0.001370,0.997266,95
R,0.001370,0.997266,23
I,0.001371,0.997267,1560
H,0.001371,0.997267,51
M,0.001371,0.997267,28
Q,0.001371,0.997267,89
R,0.001371,0.997267,22
I,0.001372,0.997262,1529
H,0.001372,0.997262,51
M,0.001372,0.997262,28
Q,0.001372,0.997262,96
R,0.001372,0.997262,22
I,0.001373,0.997260,1591
H,0.001373,0.997260,50
M,0.001373,0.997260,28
Q,0.001373,0.997260,91
R,0.001373,0.997260,23
I,0.001374,0.997258,1565
H,0.001374,0.997258,50
M,0.001374,0.997258,28
Q,0.001374,0.997258,89
R,0.001374,0.997258,21
I,0.001375,0.997256,1556
H,0.001375,0.997256,51
M,0.001375,0.997256,28
Q,0.001375,0.997256,90
R,0.001375,0.997256,22
I,0.001376,0.997260,1611
H,0.001376,0.997260,51
M,0.001376,0.997260,28
Q,0.001376,0.997260,86
R,0.001376,0.997260,22
I,0.001377,0.997258,1580
H,0.001377,0.997258,50
M,0.001377,0.997258,28
Q,0.001377,0.997258,90
R,0.001377,0.997258,22
I,0.001378,0.997258,1542
H,0.001378,0.997258,51
M,0.001378,0.997258,27
Q,0.001378,0.997258,95
R,0.001378,0.997258,21
I,0.001379,0.997247,1568
H,0.001379,0.997247,50
M,0.001379,0.997247,28
Q,0.001379,0.997247,99
R,0.001379,0.997247,22
I,0.001380,0.997250,1563
H,0.001380,0.997250,50
M,0.001380,0.997250,27
Q,0.001380,0.997250,92
R,0.001380,0.997250,21
I,0.001381,0.997251,1547
H,0.001381,0.997251,51
M,0.001381,0.997251,28
Q,0.001381,0.997251,88
R,0.001381,0.997251,21
I,0.001382,0.997250,1578
H,0.001382,0.997250,50
M,0.001382,0.997250,27
Q,0.001382,0.997250,106
R,0.001382,0.997250,22
I,0.001383,0.997244,1582
H,0.001383,0.997244,50
M,0.001383,0.997244,28
Q,0.001383,0.997244,93
R,0.001383,0.997244,21
I,0.001384,0.997240,1540
H,0.001384,0.997240,52
M,0.001384,0.997240,28
Q,0.001384,0.997240,93
R,0.001384,0.997240,21
I,0.001385,0.997242,1587
H,0.001385,0.997242,49
M,0.001385,0.997242,27
Q,0.001385,0.997242,91
R,0.001385,0.997242,22
I,0.001386,0.997234,1536
H,0.001386,0.997234,50
M,0.001386,0.997234,27
Q,0.001386,0.997234,92
R,0.001386,0.997234,22
I,0.001387,0.997235,1553
H,0.001387,0.997235,51
M,0.001387,0.997235,27
Q,0.001387,0.997235,91
R,0.001387,0.997235,23
I,0.001388,0.997234,1585
H,0.001388,0.997234,51
M,0.001388,0.997234,28
Q,0.001388,0.997234,90
R,0.001388,0.997234,22
I,0.001389,0.997232,1608
H,0.001389,0.997232,50
M,0.001389,0.997232,27
Q,0.001389,0.997232,88
R,0.001389,0.997232,22
I,0.001390,0.997232,1574
H,0.001390,0.997232,51
M,0.001390,0.997232,27
Q,0.001390,0.997232,88
R,0.001390,0.997232,22
I,0.001391,0.997226,1593
H,0.001391,0.997226,51
M,0.001391,0.997226,28
Q,0.001391,0.997226,95
R,0.001391,0.997226,23
I,0.001392,0.997228,1591
H,0.001392,0.997228,50
M,0.001392,0.997228,28
Q,0.001392,0.997228,96
R,0.001392,0.997228,22
I,0.001393,0.997218,1577
H,0.001393,0.997218,51
M,0.001393,0.997218,28
Q,0.001393,0.997218,102
R,0.001393,0.997218,22
I,0.001394,0.997219,1626
H,0.001394,0.997219,50
M,0.001394,0.997219,28
Q,0.001394,0.997219,101
R,0.001394,0.997219,23
I,0.001395,0.997221,1577
H,0.001395,0.997221,51
M,0.001395,0.997221,28
Q,0.001395,0.997221,94
R,0.001395,0.997221,21
I,0.001396,0.997218,1529
H,0.001396,0.997218,51
M,0.001396,0.997218,27
Q,0.001396,0.997218,89
R,0.001396,0.997218,22
I,0.001397,0.997214,1599
H,0.001397,0.997214,50
M,0.001397,0.997214,27
Q,0.001397,0.997214,94
R,0.001397,0.997214,23
I,0.001398,0.997212,1554
H,0.001398,0.997212,50
M,0.001398,0.997212,27
Q,0.001398,0.997212,94
R,0.001398,0.997212,21
I,0.001399,0.997209,1593
H,0.001399,0.997209,51
M,0.001399,0.997209,28
Q,0.001399,0.997209,101
R,0.001399,0.997209,21
I,0.001400,0.997208,1608
H,0.001400,0.997208,50
M,0.001400,0.997208,28
Q,0.001400,0.997208,98
R,0.001400,0.997208,22
I,0.001401,0.997210,1556
H,0.001401,0.997210,50
M,0.001401,0.997210,28
Q,0.001401,0.997210,89
R,0.001401,0.997210,22
I,0.001402,0.997203,1619
H,0.001402,0.997203,53
M,0.001402,0.997203,29
Q,0.001402,0.997203,84
R,0.001402,0.997203,22
I,0.001403,0.997204,1586
H,0.001403,0.997204,50
M,0.001403,0.997204,28
Q,0.001403,0.997204,93
R,0.001403,0.997204,22
I,0.001404,0.997202,1609
H,0.001404,0.997202,50
M,0.001404,0.997202,28
Q,0.001404,0.997202,89
R,0.001404,0.997202,21
I,0.001405,0.997200,1620
H,0.001405,0.997200,51
M,0.001405,0.997200,28
Q,0.001405,0.997200,91
R,0.001405,0.997200,22
I,0.001406,0.997199,1578
H,0.001406,0.997199,51
M,0.001406,0.997199,28
Q,0.001406,0.997199,100
R,0.001406,0.997199,22
I,0.001407,0.997194,1621
H,0.001407,0.997194,50
M,0.001407,0.997194,28
Q,0.001407,0.997194,87
R,0.001407,0.997194,21
I,0.001408,0.997194,1590
H,0.001408,0.997194,51
M,0.001408,0.997194,28
Q,0.001408,0.997194,89
R,0.001408,0.997194,22
I,0.001409,0.997195,1635
H,0.001409,0.997195,51
M,0.001409,0.997195,28
Q,0.001409,0.997195,91
R,0.001409,0.997195,23
I,0.001410,0.997185,1613
H,0.001410,0.997185,50
M,0.001410,0.997185,28
Q,0.001410,0.997185,87
R,0.001410,0.997185,21
I,0.001411,0.997188,1665
H,0.001411,0.997188,51
M,0.001411,0.997188,28
Q,0.001411,0.997188,112
R,0.001411,0.997188,22
I,0.001412,0.997190,1709
H,0.001412,0.997190,50
M,0.001412,0.997190,27
Q,0.001412,0.997190,97
R,0.001412,0.997190,22
I,0.001413,0.997185,1625
H,0.001413,0.997185,50
M,0.001413,0.997185,27
Q,0.001413,0.997185,87
R,0.001413,0.997185,21
I,0.001414,0.997178,1626
H,0.001414,0.997178,51
M,0.001414,0.997178,27
Q,0.001414,0.997178,93
R,0.001414,0.997178,22
I,0.001415,0.997177,1600
H,0.001415,0.997177,50
M,0.001415,0.997177,28
Q,0.001415,0.997177,93
R,0.001415,0.997177,23
I,0.001416,0.997185,1565
H,0.001416,0.997185,50
M,0.001416,0.997185,27
Q,0.001416,0.997185,94
R,0.001416,0.997185,22
I,0.001417,0.997171,1600
H,0.001417,0.997171,51
M,0.001417,0.997171,27
Q,0.001417,0.997171,98
R,0.001417,0.997171,22
I,0.001418,0.997181,1590
H,0.001418,0.997181,50
M,0.001418,0.997181,28
Q,0.001418,0.997181,92
R,0.001418,0.997181,22
I,0.001419,0.997174,1572
H,0.001419,0.997174,50
M,0.001419,0.997174,28
Q,0.001419,0.997174,92
R,0.001419,0.997174,22
I,0.001420,0.997164,1621
H,0.001420,0.997164,51
M,0.001420,0.997164,28
Q,0.001420,0.997164,88
R,0.001420,0.997164,22
I,0.001421,0.997167,1589
H,0.001421,0.997167,50
M,0.001421,0.997167,28
Q,0.001421,0.997167,90
R,0.001421,0.997167,22
I,0.001422,0.997169,1612
H,0.001422,0.997169,50
M,0.001422,0.997169,28
Q,0.001422,0.997169,92
R,0.001422,0.997169,22
I,0.001423,0.997163,1625
H,0.001423,0.997163,51
M,0.001423,0.997163,28
Q,0.001423,0.997163,96
R,0.001423,0.997163,22
I,0.001424,0.997162,1608
H,0.001424,0.997162,51
M,0.001424,0.997162,28
Q,0.001424,0.997162,91
R,0.001424,0.997162,23
I,0.001425,0.997157,1600
H,0.001425,0.997157,50
M,0.001425,0.997157,28
Q,0.001425,0.997157,89
R,0.001425,0.997157,22
I,0.001426,0.997162,1642
H,0.001426,0.997162,51
M,0.001426,0.997162,28
Q,0.001426,0.997162,87
R,0.001426,0.997162,22
I,0.001427,0.997156,1584
H,0.001427,0.997156,50
M,0.001427,0.997156,27
Q,0.001427,0.997156,85
R,0.001427,0.997156,23
I,0.001428,0.997154,1607
H,0.001428,0.997154,51
M,0.001428,0.997154,28
Q,0.001428,0.997154,85
R,0.001428,0.997154,21
I,0.001429,0.997155,1626
H,0.001429,0.997155,51
M,0.001429,0.997155,28
Q,0.001429,0.997155,100
R,0.001429,0.997155,21
I,0.001430,0.997146,1690
H,0.001430,0.997146,50
M,0.001430,0.997146,28
Q,0.001430,0.997146,87
R,0.001430,0.997146,22
I,0.001431,0.997148,1638
H,0.001431,0.997148,50
M,0.001431,0.997148,28
Q,0.001431,0.997148,91
R,0.001431,0.997148,21
I,0.001432,0.997143,1686
H,0.001432,0.997143,51
M,0.001432,0.997143,28
Q,0.001432,0.997143,93
R,0.001432,0.997143,21
I,0.001433,0.997146,1613
H,0.001433,0.997146,50
M,0.001433,0.997146,28
Q,0.001433,0.997146,88
R,0.001433,0.997146,23
I,0.001434,0.997145,1618
H,0.001434,0.997145,50
M,0.001434,0.997145,28
Q,0.001434,0.997145,98
R,0.001434,0.997145,22
I,0.001435,0.997141,1665
H,0.001435,0.997141,52
M,0.001435,0.997141,28
Q,0.001435,0.997141,90
R,0.001435,0.997141,22
I,0.001436,0.997141,1599
H,0.001436,0.997141,50
M,0.001436,0.997141,28
Q,0.001436,0.997141,87
R,0.001436,0.997141,22
I,0.001437,0.997137,1650
H,0.001437,0.997137,50
M,0.001437,0.997137,28
Q,0.001437,0.997137,92
R,0.001437,0.997137,22
I,0.001438,0.997130,1624
H,0.001438,0.997130,51
M,0.001438,0.997130,29
Q,0.001438,0.997130,91
R,0.001438,0.997130,21
I,0.001439,0.997134,1665
H,0.001439,0.997134,50
M,0.001439,0.997134,28
Q,0.001439,0.997134,88
R,0.001439,0.997134,23
I,0.001440,0.997134,1604
H,0.001440,0.997134,50
M,0.001440,0.997134,27
Q,0.001440,0.997134,86
R,0.001440,0.997134,22
I,0.001441,0.997128,1535
H,0.001441,0.997128,51
M,0.001441,0.997128,28
Q,0.001441,0.997128,91
R,0.001441,0.997128,21
I,0.001442,0.997132,1586
H,0.001442,0.997132,50
M,0.001442,0.997132,28
Q,0.001442,0.997132,87
R,0.001442,0.997132,23
I,0.001443,0.997132,1652
H,0.001443,0.997132,50
M,0.001443,0.997132,29
Q,0.001443,0.997132,91
R,0.001443,0.997132,21
I,0.001444,0.997122,1639
H,0.001444,0.997122,51
M,0.001444,0.997122,28
Q,0.001444,0.997122,98
R,0.001444,0.997122,22
I,0.001445,0.997121,1558
H,0.001445,0.997121,50
M,0.001445,0.997121,27
Q,0.001445,0.997121,92
R,0.001445,0.997121,23
I,0.001446,0.997117,1636
H,0.001446,0.997117,50
M,0.001446,0.997117,27
Q,0.001446,0.997117,90
R,0.001446,0.997117,22
I,0.001447,0.997113,1637
H,0.001447,0.997113,51
M,0.001447,0.997113,28
Q,0.001447,0.997113,94
R,0.001447,0.997113,22
I,0.001448,0.997118,1667
H,0.001448,0.997118,50
M,0.001448,0.997118,28
Q,0.001448,0.997118,93
R,0.001448,0.997118,22
I,0.001449,0.997110,1621
H,0.001449,0.997110,50
M,0.001449,0.997110,27
Q,0.001449,0.997110,90
R,0.001449,0.997110,21
I,0.001450,0.997117,1597
H,0.001450,0.997117,51
M,0.001450,0.997117,28
Q,0.001450,0.997117,90
R,0.001450,0.997117,21
I,0.001451,0.997110,1673
H,0.001451,0.997110,50
M,0.001451,0.997110,28
Q,0.001451,0.997110,102
R,0.001451,0.997110,23
I,0.001452,0.997110,1644
H,0.001452,0.997110,51
M,0.001452,0.997110,27
Q,0.001452,0.997110,127
R,0.001452,0.997110,22
I,0.001453,0.997106,1616
H,0.001453,0.997106,51
M,0.001453,0.997106,28
Q,0.001453,0.997106,92
R,0.001453,0.997106,22
I,0.001454,0.997099,1676
H,0.001454,0.997099,50
M,0.001454,0.997099,28
Q,0.001454,0.997099,97
R,0.001454,0.997099,25
I,0.001455,0.997095,1704
H,0.001455,0.997095,51
M,0.001455,0.997095,27
Q,0.001455,0.997095,87
R,0.001455,0.997095,21
I,0.001456,0.997102,1646
H,0.001456,0.997102,51
M,0.001456,0.997102,27
Q,0.001456,0.997102,98
R,0.001456,0.997102,22
I,0.001457,0.997099,1654
H,0.001457,0.997099,50
M,0.001457,0.997099,28
Q,0.001457,0.997099,117
R,0.001457,0.997099,23
I,0.001458,0.997101,1677
H,0.001458,0.997101,51
M,0.001458,0.997101,29
Q,0.001458,0.997101,97
R,0.001458,0.997101,22
I,0.001459,0.997093,1679
H,0.001459,0.997093,51
M,0.001459,0.997093,28
Q,0.001459,0.997093,88
R,0.001459,0.997093,22
I,0.001460,0.997093,1731
H,0.001460,0.997093,50
M,0.001460,0.997093,28
Q,0.001460,0.997093,88
R,0.001460,0.997093,23
I,0.001461,0.997090,1661
H,0.001461,0.997090,51
M,0.001461,0.997090,28
Q,0.001461,0.997090,89
R,0.001461,0.997090,21
I,0.001462,0.997093,1697
H,0.001462,0.997093,51
M,0.001462,0.997093,28
Q,0.001462,0.997093,91
R,0.001462,0.997093,21
I,0.001463,0.997088,1696
H,0.001463,0.997088,50
M,0.001463,0.997088,28
Q,0.001463,0.997088,97
R,0.001463,0.997088,23
I,0.001464,0.997080,1657
H,0.001464,0.997080,51
M,0.001464,0.997080,28
Q,0.001464,0.997080,96
R,0.001464,0.997080,22
I,0.001465,0.997081,1679
H,0.001465,0.997081,51
M,0.001465,0.997081,28
Q,0.001465,0.997081,96
R,0.001465,0.997081,21
I,0.001466,0.997071,1700
H,0.001466,0.997071,50
M,0.001466,0.997071,28
Q,0.001466,0.997071,89
R,0.001466,0.997071,23
I,0.001467,0.997074,1676
H,0.001467,0.997074,50
M,0.001467,0.997074,27
Q,0.001467,0.997074,89
R,0.001467,0.997074,22
I,0.001468,0.997071,1628
H,0.001468,0.997071,51
M,0.001468,0.997071,27
Q,0.001468,0.997071,92
R,0.001468,0.997071,22
I,0.001469,0.997072,1686
H,0.001469,0.997072,51
M,0.001469,0.997072,28
Q,0.001469,0.997072,90
R,0.001469,0.997072,23
I,0.001470,0.997067,1678
H,0.001470,0.997067,50
M,0.001470,0.997067,28
Q,0.001470,0.997067,95
R,0.001470,0.997067,21
I,0.001471,0.997070,1645
H,0.001471,0.997070,51
M,0.001471,0.997070,28
Q,0.001471,0.997070,86
R,0.001471,0.997070,21
I,0.001472,0.997066,1698
H,0.001472,0.997066,51
M,0.001472,0.997066,28
Q,0.001472,0.997066,91
R,0.001472,0.997066,23
I,0.001473,0.997066,1679
H,0.001473,0.997066,51
M,0.001473,0.997066,27
Q,0.001473,0.997066,85
R,0.001473,0.997066,23
I,0.001474,0.997058,1679
H,0.001474,0.997058,51
M,0.001474,0.997058,28
Q,0.001474,0.997058,92
R,0.001474,0.997058,22
I,0.001475,0.997062,1623
H,0.001475,0.997062,51
M,0.001475,0.997062,29
Q,0.001475,0.997062,94
R,0.001475,0.997062,22
I,0.001476,0.997055,1698
H,0.001476,0.997055,50
M,0.001476,0.997055,28
Q,0.001476,0.997055,102
R,0.001476,0.997055,21
I,0.001477,0.997055,1698
H,0.001477,0.997055,50
M,0.001477,0.997055,27
Q,0.001477,0.997055,95
R,0.001477,0.997055,21
I,0.001478,0.997057,1650
H,0.001478,0.997057,50
M,0.001478,0.997057,27
Q,0.001478,0.997057,94
R,0.001478,0.997057,23
I,0.001479,0.997054,1684
H,0.001479,0.997054,50
M,0.001479,0.997054,28
Q,0.001479,0.997054,90
R,0.001479,0.997054,21
I,0.001480,0.997047,1709
H,0.001480,0.997047,51
M,0.001480,0.997047,27
Q,0.001480,0.997047,88
R,0.001480,0.997047,22
I,0.001481,0.997051,1644
H,0.001481,0.997051,50
M,0.001481,0.997051,28
Q,0.001481,0.997051,90
R,0.001481,0.997051,22
I,0.001482,0.997049,1718
H,0.001482,0.997049,51
M,0.001482,0.997049,29
Q,0.001482,0.997049,99
R,0.001482,0.997049,21
I,0.001483,0.997041,1715
H,0.001483,0.997041,50
M,0.001483,0.997041,27
Q,0.001483,0.997041,90
R,0.001483,0.997041,21
