Algorithm,swapRate,ReverseSortedRatio,ExecutionTime
Q,0.000048,0.999906,498
R,0.000048,0.999906,34
H,0.000049,0.999904,78
M,0.000049,0.999904,29
Q,0.000049,0.999904,406
R,0.000049,0.999904,36
H,0.000050,0.999902,68
M,0.000050,0.999902,27
Q,0.000050,0.999902,649
R,0.000050,0.999902,64
H,0.000051,0.999900,169
M,0.000051,0.999900,89
Q,0.000051,0.999900,451
R,0.000051,0.999900,43
H,0.000052,0.999898,69
M,0.000052,0.999898,31
Q,0.000052,0.999898,314
R,0.000052,0.999898,47
H,0.000053,0.999896,79
M,0.000053,0.999896,27
Q,0.000053,0.999896,358
R,0.000053,0.999896,39
H,0.000054,0.999894,72
M,0.000054,0.999894,26
Q,0.000054,0.999894,315
R,0.000054,0.999894,37
H,0.000055,0.999892,64
M,0.000055,0.999892,26
Q,0.000055,0.999892,403
R,0.000055,0.999892,36
H,0.000056,0.999890,88
M,0.000056,0.999890,26
Q,0.000056,0.999890,357
R,0.000056,0.999890,32
H,0.000057,0.999888,76
M,0.000057,0.999888,28
Q,0.000057,0.999888,208
R,0.000057,0.999888,35
H,0.000058,0.999886,64
M,0.000058,0.999886,25
Q,0.000058,0.999886,232
R,0.000058,0.999886,37
H,0.000059,0.999884,77
M,0.000059,0.999884,27
Q,0.000059,0.999884,301
R,0.000059,0.999884,32
H,0.000060,0.999882,68
M,0.000060,0.999882,24
Q,0.000060,0.999882,336
R,0.000060,0.999882,51
H,0.000061,0.999880,64
M,0.000061,0.999880,28
Q,0.000061,0.999880,330
R,0.000061,0.999880,40
H,0.000062,0.999878,79
M,0.000062,0.999878,79
Q,0.000062,0.999878,198
R,0.000062,0.999878,40
H,0.000063,0.999876,64
M,0.000063,0.999876,25
Q,0.000063,0.999876,121
R,0.000063,0.999876,37
H,0.000064,0.999874,65
M,0.000064,0.999874,23
Q,0.000064,0.999874,404
R,0.000064,0.999874,30
H,0.000065,0.999872,66
M,0.000065,0.999872,29
Q,0.000065,0.999872,398
R,0.000065,0.999872,35
H,0.000066,0.999870,68
M,0.000066,0.999870,23
Q,0.000066,0.999870,284
R,0.000066,0.999870,37
H,0.000067,0.999868,70
M,0.000067,0.999868,33
Q,0.000067,0.999868,280
R,0.000067,0.999868,38
H,0.000068,0.999866,70
M,0.000068,0.999866,23
Q,0.000068,0.999866,303
R,0.000068,0.999866,34
H,0.000069,0.999864,85
M,0.000069,0.999864,26
Q,0.000069,0.999864,433
R,0.000069,0.999864,38
H,0.000070,0.999862,80
M,0.000070,0.999862,34
Q,0.000070,0.999862,342
R,0.000070,0.999862,41
H,0.000071,0.999860,70
M,0.000071,0.999860,31
Q,0.000071,0.999860,188
R,0.000071,0.999860,43
H,0.000072,0.999858,69
M,0.000072,0.999858,30
Q,0.000072,0.999858,323
R,0.000072,0.999858,37
H,0.000073,0.999856,66
M,0.000073,0.999856,28
Q,0.000073,0.999856,451
R,0.000073,0.999856,39
H,0.000074,0.999854,74
M,0.000074,0.999854,24
Q,0.000074,0.999854,245
R,0.000074,0.999854,36
H,0.000075,0.999852,68
M,0.000075,0.999852,28
Q,0.000075,0.999852,347
R,0.000075,0.999852,33
H,0.000076,0.999850,62
M,0.000076,0.999850,30
Q,0.000076,0.999850,317
R,0.000076,0.999850,35
H,0.000077,0.999848,69
M,0.000077,0.999848,33
Q,0.000077,0.999848,273
R,0.000077,0.999848,39
H,0.000078,0.999846,162
M,0.000078,0.999846,38
Q,0.000078,0.999846,508
R,0.000078,0.999846,36
H,0.000079,0.999844,90
M,0.000079,0.999844,30
Q,0.000079,0.999844,475
R,0.000079,0.999844,38
H,0.000080,0.999842,129
M,0.000080,0.999842,134
Q,0.000080,0.999842,689
R,0.000080,0.999842,66
H,0.000081,0.999840,91
M,0.000081,0.999840,22
Q,0.000081,0.999840,327
R,0.000081,0.999840,32
H,0.000082,0.999838,78
M,0.000082,0.999838,30
Q,0.000082,0.999838,219
R,0.000082,0.999838,88
H,0.000083,0.999836,115
M,0.000083,0.999836,25
Q,0.000083,0.999836,223
R,0.000083,0.999836,40
H,0.000084,0.999834,67
M,0.000084,0.999834,21
Q,0.000084,0.999834,392
R,0.000084,0.999834,27
H,0.000085,0.999832,64
M,0.000085,0.999832,22
Q,0.000085,0.999832,249
R,0.000085,0.999832,47
H,0.000086,0.999830,65
M,0.000086,0.999830,28
Q,0.000086,0.999830,339
R,0.000086,0.999830,33
H,0.000087,0.999828,65
M,0.000087,0.999828,30
Q,0.000087,0.999828,345
R,0.000087,0.999828,30
H,0.000088,0.999826,62
M,0.000088,0.999826,24
Q,0.000088,0.999826,173
R,0.000088,0.999826,27
H,0.000089,0.999824,66
M,0.000089,0.999824,22
Q,0.000089,0.999824,391
R,0.000089,0.999824,27
H,0.000090,0.999822,66
M,0.000090,0.999822,25
Q,0.000090,0.999822,317
R,0.000090,0.999822,39
H,0.000091,0.999820,68
M,0.000091,0.999820,27
Q,0.000091,0.999820,296
R,0.000091,0.999820,26
H,0.000092,0.999818,67
M,0.000092,0.999818,30
Q,0.000092,0.999818,213
R,0.000092,0.999818,30
H,0.000093,0.999816,81
M,0.000093,0.999816,28
Q,0.000093,0.999816,384
R,0.000093,0.999816,43
H,0.000094,0.999814,66
M,0.000094,0.999814,25
Q,0.000094,0.999814,375
R,0.000094,0.999814,39
H,0.000095,0.999812,59
M,0.000095,0.999812,21
Q,0.000095,0.999812,320
