Algorithm,swapRate,ReverseSortedRatio,ExecutionTime
Q,0.00048,0.999042,201
R,0.00048,0.999042,33
H,0.00049,0.999022,65
M,0.00049,0.999022,36
Q,0.00049,0.999022,122
R,0.00049,0.999022,41
H,0.00050,0.999000,67
M,0.00050,0.999000,29
Q,0.00050,0.999000,129
R,0.00050,0.999000,39
H,0.00051,0.998983,60
M,0.00051,0.998983,27
Q,0.00051,0.998983,140
R,0.00051,0.998983,43
H,0.00052,0.998961,68
M,0.00052,0.998961,34
Q,0.00052,0.998961,103
R,0.00052,0.998961,32
H,0.00053,0.998940,66
M,0.00053,0.998940,29
Q,0.00053,0.998940,148
R,0.00053,0.998940,36
H,0.00054,0.998922,67
M,0.00054,0.998922,28
Q,0.00054,0.998922,79
R,0.00054,0.998922,44
H,0.00055,0.998900,71
M,0.00055,0.998900,31
Q,0.00055,0.998900,200
R,0.00055,0.998900,40
H,0.00056,0.998880,66
M,0.00056,0.998880,26
Q,0.00056,0.998880,105
R,0.00056,0.998880,29
H,0.00057,0.998862,52
M,0.00057,0.998862,29
Q,0.00057,0.998862,164
R,0.00057,0.998862,34
H,0.00058,0.998840,64
M,0.00058,0.998840,31
Q,0.00058,0.998840,80
R,0.00058,0.998840,43
H,0.00059,0.998821,76
M,0.00059,0.998821,27
Q,0.00059,0.998821,173
R,0.00059,0.998821,35
H,0.00060,0.998801,108
M,0.00060,0.998801,29
Q,0.00060,0.998801,192
R,0.00060,0.998801,40
H,0.00061,0.998783,74
M,0.00061,0.998783,37
Q,0.00061,0.998783,114
R,0.00061,0.998783,35
H,0.00062,0.998761,68
M,0.00062,0.998761,36
Q,0.00062,0.998761,183
R,0.00062,0.998761,38
H,0.00063,0.998740,68
M,0.00063,0.998740,27
Q,0.00063,0.998740,127
R,0.00063,0.998740,36
H,0.00064,0.998721,61
M,0.00064,0.998721,32
Q,0.00064,0.998721,112
R,0.00064,0.998721,36
H,0.00065,0.998700,77
M,0.00065,0.998700,27
Q,0.00065,0.998700,182
R,0.00065,0.998700,41
H,0.00066,0.998681,69
M,0.00066,0.998681,29
Q,0.00066,0.998681,102
R,0.00066,0.998681,33
H,0.00067,0.998664,64
M,0.00067,0.998664,32
Q,0.00067,0.998664,168
R,0.00067,0.998664,40
H,0.00068,0.998641,60
M,0.00068,0.998641,30
Q,0.00068,0.998641,247
R,0.00068,0.998641,36
H,0.00069,0.998624,66
M,0.00069,0.998624,30
Q,0.00069,0.998624,98
R,0.00069,0.998624,42
H,0.00070,0.998600,68
M,0.00070,0.998600,29
Q,0.00070,0.998600,202
R,0.00070,0.998600,38
H,0.00071,0.998585,72
M,0.00071,0.998585,24
Q,0.00071,0.998585,185
R,0.00071,0.998585,35
H,0.00072,0.998562,84
M,0.00072,0.998562,41
Q,0.00072,0.998562,83
R,0.00072,0.998562,36
H,0.00073,0.998542,71
M,0.00073,0.998542,39
Q,0.00073,0.998542,211
R,0.00073,0.998542,42
H,0.00074,0.998523,135
